0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s,0.5s & 1.0s)",Insulation Resistance,IS 16444 (Part 2)
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s,0.5s & 1.0s)",Limits of Errors,IS 16444 (Part 2)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s,0.5s & 1.0s)",Repeatability of Error,IS 16444 (Part 2)
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s,0.5s & 1.0s)",Test of Inuencequantities:Voltage Variation Frequency Variation Reverse Phase Sequence Voltage Unbalance Inuence of Harmonics in Voltage and Current Circuit,IS 16444 (Part 2)
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s, 0.5s & 1.0s)",Initial Start up of energymeters,IS 16444 (Part 2)
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s, 0.5s & 1.0s)",Meter Constant,IS 16444 (Part 2)
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s, 0.5s & 1.0s)",No Load Condition,IS 16444 (Part 2)
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s, 0.5s & 1.0s)",Power Consumption in Current Circuit,IS 16444 (Part 2)
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s, 0.5s & 1.0s)",Power Consumption in Voltage Circuit,IS 16444 (Part 2)
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER(Class 0.2s, 0.5s & 1.0s)",Starting Conditions,IS 16444 (Part 2)
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC ENERGY METER(Class 1.0 & 2.0),Initial Start up of energymeters,IS 16444 (Part 1)
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC ENERGY METER(Class 1.0 & 2.0),Limits of Errors,IS 16444 (Part 1)
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC ENERGY METER(Class 1.0 & 2.0),Meter Constant,IS 16444 (Part 1)
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC ENERGY METER(Class 1.0 & 2.0),No Load Condition,IS 16444 (Part 1)
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC ENERGY METER(Class 1.0 & 2.0),Power Consumption in Current Circuit,IS 16444 (Part 1)
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC ENERGY METER(Class 1.0 & 2.0),Power Consumption in Voltage Circuit,IS 16444 (Part 1)
