0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400pf to 18200p F,Measurement of capacitance,IS 16227 (PART-5)
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400pf to 18200p F,Partial Discharge measurement,IS 16227 (PART-5)
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400p F to 18200p F,Switching impulse voltagewithstand test.,IS 16227 (PART-5)
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400pf to 18200p F,Visible corona measurement,POWERGRID specication(SWGR-Rev. No. 11)
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400pf to 18200p F,Wet Power frequency voltagewithstand tests on primaryterminal,IS 16227 (PART-5)
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 765 k V) 4400pf to 18200pf,Power frequency Voltagewithstand test on secondarywinding,IS 16227 (PART-5)
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (300 k V to 400 k V) 4400pf to 18200p F,Wet Switching impulse voltagewithstand test,"""Withdrawn standard"" IEC60044-5 (2004),IEC 61869-1(2023), IEC 61869-5:cl.no.7.2.4"
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (300 k V to 400 k V) 4400pf to 18200p F,Wet Switching impulse voltagewithstand test,IS 16227 (PART-5)
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400p F to 18200p F,AC-withstand test on low-voltage terminal of thecapacitor voltage divider,"""Withdrawn standard"" IEC60044-5 (2004) cl.no.10.2.4,IEC 61869-5"
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400p F to 18200p F,AC-withstand test on low-voltage terminal of thecapacitor voltage divider,IS 16227 (PART-5)
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400pf to 18200p F,Chopped impulse voltagewithstand test on primaryterminals,"""Withdrawn standard"" IEC60044-5 (2004),IEC 61869-5"
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400pf to 18200p F,Chopped impulse voltagewithstand test on primaryterminals,IS 16227 (PART-5)
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400p F to 18200p F,Insulation test of theelectromagnetic unit,"""Withdrawn standard"" IEC60044-5 (2004) cl.no.10.4.1(withdrawn), IEC 61869-5"
14,ELECTRICAL- INDUCTORS& TRANSFORMERS,Capacitor Voltage transformer (66 k V to 400 k V) 4400p F to 18200p F,Insulation test of theelectromagnetic unit,IS 16227 (PART-5)
