0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- LUBRICANTS,"Bearing Oil, Rolling oil, Gear Oil Hydraulic Oil, Thermic Fluid, Emulsion, Turbine Oil",Appearance,SOP No. HIC/NABL/LC/L3/002 Issue No.01 Rev. No.00 12 Dec
2,CHEMICAL- LUBRICANTS,"Bearing Oil, Rolling oil, Gear Oil Hydraulic Oil, Thermic Fluid, Emulsion, Turbine Oil","Contamination by Gum Tester,% by mass",SOP No. HIC/NABL/LC/L3/039 Issue No.01 Rev. No.00 16 Jan
3,CHEMICAL- LUBRICANTS,"Bearing Oil, Rolling oil, Gear Oil Hydraulic Oil, Thermic Fluid, Emulsion, Turbine Oil",Contamination Level ( Heavy Ends),SOP No. HIC/NABL/LC/L3/012 Issue No.01 Rev. No.00 12 Dec
4,CHEMICAL- LUBRICANTS,"Bearing Oil, Rolling oil, Gear Oil Hydraulic Oil, Thermic Fluid, Emulsion, Turbine Oil","Fatty Alcohol Concentration, %by mass",SOP No. HIC/NABL/LC/L3/022 Issue No.01 Rev. No.00 12 Dec
5,CHEMICAL- LUBRICANTS,"Bearing Oil, Rolling oil, Gear Oil Hydraulic Oil, Thermic Fluid, Emulsion, Turbine Oil",Ferrography ISO Code,ASTM 7596
6,CHEMICAL- LUBRICANTS,"Bearing Oil, Rolling oil, Gear Oil Hydraulic Oil, Thermic Fluid, Emulsion, Turbine Oil",Moisture Content,IS 13567
7,CHEMICAL- LUBRICANTS,"Bearing Oil, Rolling oil, Gear Oil Hydraulic Oil, Thermic Fluid, Emulsion, Turbine Oil",Neutralization Number,ASTM D974
8,CHEMICAL- LUBRICANTS,"Bearing Oil, Rolling oil, Gear Oil Hydraulic Oil, Thermic Fluid, Emulsion, Turbine Oil",Particulate Ash,SOP No. HIC/NABL/LC/L3/015 Issue No.01 Rev. No.00 12 Dec
9,CHEMICAL- LUBRICANTS,"Bearing Oil, Rolling oil, Gear Oil Hydraulic Oil, Thermic Fluid, Emulsion, Turbine Oil",Total Ash Content,IS 1448 (Part 4) : Sec 1
10,CHEMICAL- LUBRICANTS,Emulsion,Conductivity,IS 3025 (Part 14)
11,CHEMICAL- LUBRICANTS,"Emulsion, Gear Oil Hydraulic Oil, Bearing Oil, Thermic Fluid,Rolling oil, Turbine Oil",Kinematic Viscosity at 40 Deg C of Rolling Emulsion afterseparation of oil by vacuumevaporator,SOP No. HIC/NABL/LC/L3/032 Issue No.01 Rev. No.00 13 Dec
12,CHEMICAL- LUBRICANTS,"Emulsion, Gear Oil Hydraulic Oil, Bearing Oil, Thermic Fluid,Rolling oil, Turbine Oil","Oil and Sludge Concentrationby Acid-split method, %volume",SOP No. HIC/NABL/LC/L3/007 Issue No.01 Rev. No.00 12 Dec
13,CHEMICAL- LUBRICANTS,"Emulsion, Gear Oil Hydraulic Oil, Bearing Oil, Thermic Fluid,Rolling oil, Turbine Oil",Particle Size Analysis,SOP No. HIC/NABL/LC/L3/038 Issue No.01 Rev. No.00 02 Feb
14,CHEMICAL- LUBRICANTS,"Emulsion, Gear Oil Hydraulic Oil, Bearing Oil, Thermic Fluid,Rolling oil, Turbine Oil",p H,IS 3025 (Part 11)
15,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid, Rollingoil, Turbine Oil",Ferrography - NAS No,ASTM D7596
16,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid, Rollingoil, Turbine Oil",Ferrography - Ferrous,ASTM D8120
17,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Carbon Chain Distribution of HNP by GC Method C-15,SOP No. HIC/NABL/LC/L3/037 Issue No.01 Rev. No.00 02 Feb
18,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil","Carbon Chain Distribution of HNP by GC Method, % volume C-13",SOP No. HIC/NABL/LC/L3/037 Issue No.01 Rev. No.00 02 Feb
19,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil","Carbon Chain Distribution of HNP by GC Method, % volume C-14",SOP No. HIC/NABL/LC/L3/037 Issue No.01 Rev. No.00 02 Feb
20,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil","Carbon Chain Distribution of HNP by GC Method, % volume C-16",SOP No. HIC/NABL/LC/L3/037 Issue No.01 Rev. No.00 02 Feb
21,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil","Carbon Chain Distribution of HNP by GC Method, % volume C-17",SOP No. HIC/NABL/LC/L3/037 Issue No.01 Rev. No.00 02 Feb
22,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Colour,ASTM D1500
23,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Copper corrosion,IS 1448 (Part 15)
24,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Density by Digital Densitymeter,ASTM D 4052
25,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Density by Hydrometer,IS 1448 (Part 16)/ ASTM D1298
26,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Distillation Range (FBP)(byautomatic Instrument),ASTM D86
27,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Distillation Range (FBP)(bymanual Instrument),IS 1448 (Part 18)
28,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Distillation Range (IBP) ( byautomatic Instrument),ASTM D 86
29,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Distillation Range (IBP)(bymanual Instrument),IS 1448(Part 18)
30,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Flash Point (COC) by Auto COCTester,ASTMD92
31,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Flash Point (COC) by Manual COC Tester,IS 1448(Part 69)
32,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Flash Point (PMCC) by Auto PMCC tester,ASTM D93/ ISO 2719
33,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Flash Point (PMCC)by Manual PMCC tester,IS 1448 : Part 21
34,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Kinematic Viscosity at 100 Deg C by Auto Viscometer,IS 1448 (Part 25): Sec 1
35,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Kinematic Viscosity at 100 Deg C Manual,ASTM D445
36,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Kinematic Viscosity at 40 Deg C by Auto Viscometer,IS 1448 (Part 25): Sec 1
37,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Kinematic Viscosity at 40 Deg C Manual,ASTM D445
38,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Pour Point,IS 1448 : Part 10 : Sec 2
39,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",RPVOT Value,ASTM D2272
40,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil","Sediments, % by volume",IS 1448 : Part 41
41,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Sulphated Ash,IS 1448 : Part 4 : Sec 2
42,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Bearing Oil, Thermic Fluid,Emulsion, Rolling oil, Turbine Oil",Viscosity Index,IS 1448 (Part 56)
43,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",MPC,ASTM D7843
44,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Elemental Analysis of Lubricantand Additive Components -Zinc by WDXRF,ASTM D4927
45,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Elemental Analysis of Lubricantand Additive Components -Barium by WDXRF,ASTM D4927
46,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Elemental Analysis of Lubricantand Additive Components -Calcium by WDXRF,ASTM D4927
47,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Elemental Analysis of Lubricantand Additive Components -Phosphorus by WDXRF,ASTM D4927
48,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Elemental Analysis of Lubricantand Additive Components -Sulfur by WDXRF,ASTM D4927
49,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Foaming tendency - Sequence I,ASTM D892
50,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Foaming tendency - Sequence II,ASTM D892
51,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Foaming tendency - Sequence III,ASTM D892
52,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES) Magnesium- Mg,ASTM D5185
53,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Aluminum - Al,ASTM D5185
54,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Boron - B,ASTM D5185
55,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Cadmium - Cd,ASTM D5185
56,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Calcium - Ca,ASTM D5185
57,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Chromium - Cr,ASTM D5185
58,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Copper - Cu,ASTM D5185
59,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Iron - Fe,ASTM D5185
60,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Lead - Pb,ASTM D5185
61,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Manganese - Mn,ASTM D5185
62,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Nickel - Ni,ASTM D5185
63,CHEMICAL- LUBRICANTS,"Gear Oil, Hydraulic Oil, Thermic Fluid, Emulsion, Rolling oil,Turbine Oil, Bearing Oil",Multi element Determination of Used and Unused Lubricating Oils and Base Oils by Inductively Coupled Plasma Atomic Emission Spectrometry(ICP-AES). Phosphorus - P,ASTM D5185
