0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,"Accelerated Moisture Resistance-Unbiased Autoclave Forward Voltage, (VF) Leakage Current ,(IR) Breakdown Voltage (VZ) Zener Impedance,RD",JESD-22 A102 E
2,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,Hermetic Seal,MIL-STD-750-1 B (METHOD1071.18 Gross Leak Method DFine Leak H1 and H2)
3,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,"IOL (Intermittent Operation Life) Pre-Post Electricalmeasurement for Deltaparameter limits are specied.Forward Voltage, (VF) Leakage Current, (IR) Breakdown Voltage (VZ) Zener Impedance,RD","MIL-STD-750-1 B (METHOD1036.3,1037.3)"
4,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,Solderability,MIL-STD-750-2 B (METHOD2026.14)
5,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,"Steady State Temperature Humidity Bias Life Test Forward Voltage, (VF) Leakage Current ,(IR) Breakdown Voltage (VZ) Zener Impedance,RD",JESD22-A101 D.01
6,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,Terminal Strength,MIL-STD-750-2 B. (METHOD2036.5)
7,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,"BURN-IN/HTRB (High Temp.Reverse Bias) Forward Voltage,(VF) Leakage Current, (IR)Breakdown Voltage (VZ) Zener Impedance ,RD",MIL-STD-750-1 B (METHOD1038.5 Test condition A -HTRB.)
8,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,"High-Temperature Life (Non Operating) Forward Voltage,(VF) Leakage Current , (IR)Breakdown Voltage (VZ) Zener Impedance, RD","MIL-STD-750-1 B (METHOD1031.5,1032.2)"
9,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,"Resistance To Soldering Heat Forward Voltage, (VF) Leakage Current, (IR) Breakdown Voltage (VZ) Zener Impedance,RD",MIL-STD-750-2 B. (METHOD2031.7
10,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,"Steady-State Operation Life/Burn-In Forward Voltage,(VF) Leakage Current ,(IR)Breakdown Voltage (VZ) Zener Impedance, RD",MIL-STD-750-1 B (METHOD1026.5/1038.5 Test condition B- SSOP)
11,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Diode,"Temperature Cycling (Air to Air) Forward Voltage, (VF)Leakage Current ,(IR)Breakdown Voltage (VZ) Zener Impedance, RD",MIL-STD-750-1 B (METHOD1051.9)
