0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,"""Electrical and electronic installations in ships Electromagnetic compatibility (EMC) Ships witha metallic hull""","""Electrostatic Discharge Immunity Test""",IEC 60533
2,ELECTRONICS- EMCTEST FACILITY,"""Electrical and electronic installations in ships Electromagnetic compatibility (EMC) Ships witha metallic hull""",Conducted Emission,IEC 60533
3,ELECTRONICS- EMCTEST FACILITY,"""Electrical and electronic installations in ships Electromagnetic compatibility (EMC) Ships witha metallic hull""",Conducted RFSusceptibility,IEC 60533
4,ELECTRONICS- EMCTEST FACILITY,"""Electrical and electronic installations in ships Electromagnetic compatibility (EMC) Ships witha metallic hull""",Electrical Fast Transient(EFT) / Burst Immunity Test (Power Line & Signal Line),IEC 60533
5,ELECTRONICS- EMCTEST FACILITY,"""Electrical and electronic installations in ships Electromagnetic compatibility (EMC) Ships witha metallic hull""",High Energy / Telecom Surge Immunity Test,IEC 60533
6,ELECTRONICS- EMCTEST FACILITY,"""Electrical and electronic installations in ships Electromagnetic compatibility (EMC) Ships witha metallic hull""",Radiated Emission,IEC 60533
7,ELECTRONICS- EMCTEST FACILITY,"""Electrical and electronic installations in ships Electromagnetic compatibility (EMC) Ships witha metallic hull""",Radio frequencyelectromagnetic eld,IEC 60533
8,ELECTRONICS- EMCTEST FACILITY,"""Electrical and electronic installations in ships Electromagnetic compatibility (EMC) Ships witha metallic hull""","Voltage dips, shortinterruption & voltagevariations Immunity",IEC 60533:
9,ELECTRONICS- EMCTEST FACILITY,"""Electro Magnetic Compatibility (EMC) standardfor radio equipment and services for Broadband Data Transmission Systems""","""Emissions: DC powerinput/output ports """,ETSI EN 301 489-17
10,ELECTRONICS- EMCTEST FACILITY,"""Railway applications - Electromagneticcompatibility - Rolling stock - Apparatus""","""Electrical Fast Transient(EFT) / Clause 8""",BS EN 50121-3-2:2016/A1
11,ELECTRONICS- EMCTEST FACILITY,"""Railway applications - Electromagneticcompatibility - Rolling stock - Apparatus""","""Electrostatic Discharge Immunity Test Clause 8""",BS EN 50121-3-2:2016/A1
12,ELECTRONICS- EMCTEST FACILITY,"""Railway applications - Electromagneticcompatibility - Rolling stock - Apparatus""",Conducted Emission(Clause 7),BS EN 50121-3-2:2016/A1
13,ELECTRONICS- EMCTEST FACILITY,"""Railway applications - Electromagneticcompatibility - Rolling stock - Apparatus""",High Energy / Telecom Surge Immunity Test(Clause 8),BS EN 50121-3-2:2016/A1
14,ELECTRONICS- EMCTEST FACILITY,"""Railway applications - Electromagneticcompatibility - Rolling stock - Apparatus""",Radiated Emission(Clause 7),BS EN 50121-3-2:2016/A1
15,ELECTRONICS- EMCTEST FACILITY,"""Railway applications - Electromagneticcompatibility - Rolling stock - Apparatus""",Radio frequencyelectromagnetic eld(Clause 8),BS EN 50121-3-2:2016/A1
16,ELECTRONICS- EMCTEST FACILITY,"""Railway applications - Electromagneticcompatibility - Rolling stock - Apparatus""",Radio-frequency commonmode (Clause 8),BS EN 50121-3-2:2016/A1
17,ELECTRONICS- EMCTEST FACILITY,5 GHz RLAN,Adaptivity (Clause 4.2.7 ),ETSI EN 301 893 V2.1.1
