0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,"Electromagnetic compatibility. Electricalapparatus for the detection and measurement ofcombustible gases, toxic gases or oxygen",Radiated Emission test,BS EN 50270
2,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Conducted Susceptability,EN 60730-1:2016/A1
3,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Conducted Susceptability,EN 60730-2-5:2015/A2
4,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Electrostatic Dischargetest,EN 60730-1:2016/A1
5,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Electrostatic Dischargetest,EN 60730-2-5:2015/A2
6,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Power Frequecy Magneticeld,EN 60730-2-5:2015/A2
7,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Power frequencymagnetic eld,EN 60730-1:2016/A1
8,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Radaited Susceptability,EN 60730-1:2016/A1
9,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Radiated Susceptability,EN 60730-1:2016/A1
10,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Radiated Susceptabilty,EN 60730-2-5:2015/A2
11,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Radiated Susceptabilty,EN 60730-2-5:2015/A2
12,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Supply voltage variationsbelow 85 % of ratedvoltage,EN 60730-1:2016/A1
13,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Supply voltage variationsbelow 85 % of ratedvoltage,EN 60730-2-5:2015/A2
14,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Surge immunity test,EN 60730-1:2016/A1
15,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,TEST OF INFLUENCE OFSUPPLY FREQUENCYGENERATIONS,EN 60730-1:2016/A1
16,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,TEST OF INFLUENCE OFSUPPLY FREQUENCYGENERATIONS,EN 60730-2-5:2015/A2
17,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Voltage Dips&Interruptions Immunity,EN 60730-1:2016/A1
18,ELECTRONICS- EMCTEST FACILITY,Automatic electrical controls,Voltage Dips&Interruptions Immunity,EN 60730-2-5:2015/A2
19,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronic Products, Lighting Control Products, Sensing and Control Devices,Electromechanical Products, RF and Wireless Devices, Networking Products",Electrostatic Discharge,BS EN 61547
20,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronic Products, Lighting Control Products, Sensing and Control Devices,Electromechanical Products, RF and Wireless Devices, Networking Products",Electrostatic Discharge,EN 60730-2-5:2015/A2
21,ELECTRONICS- EMCTEST FACILITY,"Electrical and Electronic Products, Lighting Control Products, Sensing and Control Devices,Electromechanical Products, RF and Wireless Devices, Networking Products",Electrostatic Discharge,IEC 60533
