0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Electrically Propelled Road Vehicles- Dimensions And Designation of Secondary Lithium-Ion Cells,Designation of cell,"IS 16827, Clause no 5"
2,ELECTRICAL- CELLS &BATTERIES,Electrically Propelled Road Vehicles- Dimensions And Designation of Secondary Lithium-Ion Cells,Dimensions for theselected cell design,"IS 16827, Clause no 7"
3,ELECTRICAL- CELLS &BATTERIES,Electrically Propelled Road Vehicles- Dimensions And Designation of Secondary Lithium-Ion Cells,Shape of construction,"IS 16827, Clause no 4.1"
4,ELECTRICAL- CELLS &BATTERIES,Electrically Propelled Road Vehicles- Dimensions And Designation of Secondary Lithium-Ion Cells,Shape of construction Andconstituent parts of Secondary lithium-ion cell,"IS 16827, Clause no 4"
5,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,250 N Steady Force,"UL 2054, Clause no 19"
6,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Abnormal Charging,"UL 2054, Clause no 10"
7,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Abusive Overcharge,"UL 2054, Clause no 11"
8,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Battery Pack Surface Temp.,"UL 2054, Clause no 13 B"
9,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Crush,"UL 2054, Clause no 14"
10,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Drop Impact,"UL 2054, Clause no 21"
11,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Forced discharge,"UL 2054, Clause no 12"
12,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Heating,"UL 2054, Clause no 23"
13,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Impact,"UL 2054, Clause no 15"
14,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Limited Power Source,"UL 2054, Clause no 13"
15,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Mold Stress Relief,"UL 2054, Clause no 20"
16,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Shock test,"UL 2054, Clause no 16"
17,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Short-Circuit,"UL 2054, Clause no 9"
18,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Temperature Cycling,"UL 2054, Clause no 24"
19,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Vibration test,"UL 2054, Clause no 17"
20,ELECTRICAL- CELLS &BATTERIES,Lead-Acid Storage Batteries for Motor Vehicleswith Light Weight and High Cranking Performance,"Capacities, dimensions,mass and layout","IS 14257, Clause no 6"
21,ELECTRICAL- CELLS &BATTERIES,Lead-Acid Storage Batteries for Motor Vehicleswith Light Weight and High Cranking Performance,Capacity (5 h Rate) Test,"IS 14257, Clause no 9.3.4"
22,ELECTRICAL- CELLS &BATTERIES,Lead-Acid Storage Batteries for Motor Vehicleswith Light Weight and High Cranking Performance,Charge Acceptance Test,"IS 14257, Clause no 9.3.8"
