0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Ceiling Type Fan,Rating,IS 374
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Ceiling Type Fan,Endurance,IS 374
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fan,Creepage Distance and Cleaances,IS 302 Part 2 Sec 80
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fan,Resistance to Heat and Fire,IS 302 Part 2 Sec 80
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fans,CLASSIFICATION,IS 374
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fans,Interchangeability,IS 374
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fans,Marking,IS 374
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fans,Power Input and Current,IS 302 Part 2 Sec 80
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fans,Protection Against Electric Shock,IS 302 part 2 sec 80
10,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fans,Silent Operation,IS 374
11,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fans,Speed Regulators,IS 374
12,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fans,Starting,IS 374
13,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Electric Celling Type Fans,Test for Harmonic Distortion,IS 374
14,ELECTRICAL- EMI / EMCTEST FACILITY,"LED Luminaire for road and Street Lighting , LED Flood Lights , Recessed LED Luminaires ,DC or AC suppliedelectronic Control gears for LED modules ,xed generalpurpose LED Luminaires , Rope lights ,Surge protectingdevice , self ballasted LED Lamps for general lightingservices ,electric ceiling fan",Surge immunity test,IEC 61000-4-5
15,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"LED Luminaire for road and Street Lighting , LED Flood Lights , Recessed LED Luminaires ,DC or AC suppliedelectronic Control gears for LED modules ,xed generalpurpose LED Luminaires , Rope lights , self ballasted LEDLamps for general lighting services ,electric ceiling fan",Hammer Test -Pendulum and Spring Hammer,IEC 60068-2-75
16,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LED module,Creepage Distance And Clearances,IS 15885 PART 1
17,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LED modules,Classication,IS 15885 Part 2 Sec 13
18,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LED modules,Creepage distances and Clearances,IS 15885 Part 2 Sec 13
19,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LED modules,Electric Strength,IS 15885 part 2 sec 13
20,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LED modules,Marking,IS 15885 Part 2 Sec 13
