0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Cable accessories up to 220k V,High Voltage Test,IEC 62067
2,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Cable accessories up to 220k V,Partial Discharge Test,IEC 60270
3,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Cable accessories up to 220k V,Partial Discharge Test,IEC 60502-2
4,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Cable accessories up to 220k V,Partial Discharge Test,IEC 60840
5,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Cable accessories up to 220k V,Partial Discharge Test,IEC 60885-3
6,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Cable accessories up to 220k V,Partial Discharge Test,IEC 62067
7,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Cable accessories up to 220k V,High Voltage Test,IEC 60502-2
8,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Cable accessories up to 220k V,High Voltage Test,IEC 60840
9,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,Cable accessories up to 220k V,High Voltage Test,IEC 60885-3
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,DC Resistance Test,ANSI C 119.4
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,DC Resistance Test,EN 50483-5
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,DC Resistance Test,IEC 60502-2
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,DC Resistance Test,IEC 61238-1-3
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,DC Resistance Test,IS 5561 : 2018 Clauseno.12
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,DC Resistance Test,NFC 33-020
18,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,Temperaturemeasurement,ANSI C 119.4
19,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,Temperaturemeasurement,EN 50483-5
20,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,Temperaturemeasurement,IEC 60502-2
21,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,Temperaturemeasurement,IEC 61238-1-3
22,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,Temperaturemeasurement,IS 5561
23,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories,Temperaturemeasurement,NFC 33-020
24,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Cable connecting equipment and accessories.,Electrical ageing Test,EN 50483-5
