0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Chromium,ASTM E 1251
2,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Copper,ASTM E 1251
3,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Iron,ASTM E 1251
4,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Lead,ASTM E 1251
5,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Magnesium,ASTM E 1251
6,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Manganese,ASTM E 1251
7,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Nickel,ASTM E 1251
8,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Silicon,ASTM E 1251
9,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Tin,ASTM E 1251
10,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Titanium,ASTM E 1251
11,CHEMICAL- METALS &ALLOYS,Aluminium & Its Alloy,Zinc,ASTM E 1251
12,CHEMICAL- METALS &ALLOYS,Low Alloy Steels,Carbon,IS 8811
13,CHEMICAL- METALS &ALLOYS,Low Alloy Steels,Manganese,IS 8811
14,CHEMICAL- METALS &ALLOYS,Low Alloy Steels,Phosphorous,IS 8811
15,CHEMICAL- METALS &ALLOYS,Low Alloy Steels,Silicon,IS 8811
16,CHEMICAL- METALS &ALLOYS,Low Alloy Steels,Sulphar,IS 8811
78,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Insulator Hardware Fittings,Visual Examination,BS 3288 Part I
79,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Mid Span Compression Joint,Visual Examination,IS 2121 PART III
80,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"a) All type of Rigid Spacer, Spacer Damper &Vibration Damper. b)ALL type Pilot & AGSsuspension strings.",Magnetic Power Loss,IEC 61284
81,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,A.B. Cable suspension clamp with bracket,Mechanical Strength Test,NFC 33040
82,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Accessories For Earth Wire,"Dimension Checked(Length,Width,Diameter,Thicknes &Height)",IS 2121 Part 3
83,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Accessories For Earth Wire,"Dimension Checked(Length,Width,Diameter,Thicknes &Height)",IS 2121 Part 3
84,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Accessories of Covered Conductor,Branch Cable Pull out Test,EN 50397-2
85,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Accessories of Covered Conductor,Clamp Bolt Tightening Test,EN 50397-2
86,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Accessories of Covered Conductor,Mechanical Damage Test,EN 50397-2:
87,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Accessories of Covered Conductor,Slip Test,EN 50397-2:
