0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- EMI / EMCTEST FACILITY,"All aircraft, space and ground system interconnectingcables including power cables",Conducted Susceptibility,MIL STD 461 E
2,ELECTRICAL- EMI / EMCTEST FACILITY,All interconnecting cables including power leads,Conducted Susceptibility,MIL STD 461 E
3,ELECTRICAL- EMI / EMCTEST FACILITY,All interconnecting cables including power leads andindividual high side power leads,Conducted Susceptibility,MIL STD 461 E
4,ELECTRICAL- EMI / EMCTEST FACILITY,"Antenna terminals of transmitters, Receivers and Ampliers",Conducted Emission,MIL STD 461 E
5,ELECTRICAL- EMI / EMCTEST FACILITY,"Communication Receivers, Trans- receivers, Radar Receivers, Acoustic Receivers and EW Receivers",Conducted Susceptibility,MIL STD 461 E
6,ELECTRICAL- EMI / EMCTEST FACILITY,"Communication Receivers, Trans- receivers, Radar Receivers, Acoustic Receivers and EW Receivers",Conducted Susceptibility,MIL STD 461 E
7,ELECTRICAL- EMI / EMCTEST FACILITY,Equipment and subsystem AC and DC input power leadsnot including returns,Conducted Susceptibility,MIL STD 461 E
8,ELECTRICAL- EMI / EMCTEST FACILITY,Equipment and subsystem enclosures and allinterconnecting cables,Radiated Susceptibility,MIL STD 461 E
9,ELECTRICAL- EMI / EMCTEST FACILITY,"Equipment and subsystem enclosures, all interconnectingcables and Antenna designed to be permanently mountedto EUT in standby mode",Radiated Emission,MIL STD 461 E
10,ELECTRICAL- EMI / EMCTEST FACILITY,Power Leads of equipment including returns that obtainpower from other sources not part of the EUT,Conducted Emission,MIL STD 461 E
11,ELECTRICAL- EMI / EMCTEST FACILITY,Receivers that normally process amplitude modulated RFsignals,Conducted Susceptibility,MIL STD 461 E
