0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsa)-Voltage,IEC 60947-2 (Withdrawn):2019
2,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsa)-Voltage,IEC 60947-2(Withdrawn):2019
3,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsa)-Voltage,IEC 60947-2: 2024
4,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsa)-Voltage,IEC 60947-2: 2024
5,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsa)-Voltage,IS/IEC 60947 : Part 2 Amd. 1 : 2023: 2016
6,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsa)-Voltage,IS/IEC 60947 : Part 2 Amd. 1 : 2023: 2016
7,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsa)-Voltage,IS/IEC 60947-2: 2016
8,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsa)-Voltage,IS/IEC 60947-2: 2016
9,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsb)-Current,IEC 60947-2(Withdrawn):2019
10,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsb)-Current,IEC 60947-2: 2024
11,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Additional tests for CBRsb)-Current,IS/IEC 60947 : Part 2 Amd. 1 : 2023: 2016
12,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Behaviour in the case offailure of line voltage for CBRs classied under B.3.1.2.1,IEC 60947-2: 2019
13,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Behaviour in the case offailure of line voltage for CBRs classied under B.3.1.2.1,IEC 60947-2: 2024
14,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Behaviour in the case offailure of line voltage for CBRs classied under B.3.1.2.1,IEC 60947-2: 2024
15,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Behaviour in the case offailure of line voltage for CBRs classied under B.3.1.2.1,IS/IEC 60947 : Part 2 Amd. 1 : 2023: 2016
16,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Behaviour in the case offailure of line voltage for CBRs classied under B.3.1.2.1,IS/IEC 60947 : Part 2 Amd. 1 : 2023: 2016
17,ELECTRICAL-SWITCHGEAR &PROTECTIVEEQUIPMENT,Circuit Breaker,Behaviour in the case offailure of line voltage for CBRs classied under B.3.1.2.1,IS/IEC 60947-2: 2016
