0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1,Meter Constant,"IS 16444 (Part 1) (Clause 6.12), IS 13779 (Clause 12.15)"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1,Repeatability of Error,"IS 16444 (Part 1) (Clause 6.12), IS 13779 (Clause 11.7)"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1,Starting Condition,"IS 16444 (Part 1) (Clause 6.12), IS 13779 (Clause 11.5)"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1,a.c. High Voltage Test,"IS 16444 (Part 1) (Clause 6.10.6), IS 13779 (Clause 12.7.6.3)"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1,Limits of Error,"IS 16444 (Part 1) (Clause 6.12), IS 13779 (Clause 11.1)"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1,No-Load Condition,"IS 16444 (Part 1) (Clause 6.12), IS 13779 (Clause 11.4)"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1,Power Consumption,IS 16444 (Part 1) (Clause 6.10.1)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Single Phase Class 1,Insulation Resistance,"IS 16444 (Part 1) (Clause 6.10.6), IS 13779 (Clause 12.7.6.4)"
