0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,AC High Voltage test (Roomtemp.),"IS 10810 (Part 45), IS 694"
2,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,AC High Voltage test (Waterimmersion test),"IS 10810 (Part 45), IS 694"
3,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Additional Ageing test (OUcables only),IS 694 Cl.10.9
4,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Annealing test (For copper),"IS 10810 (Part 1), IS 694"
5,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Cold Bend test (Up to 12.5 mmdia.) (Insulation & sheath),"IS 10810 (Part 20), IS 694"
6,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Cold Impact test (Above to 12.5 mm dia.) (Insulation &sheath),"IS 10810 (Part 21), IS 694"
7,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Conductor Resistance test,"IS 10810 (Part 5), IS 694"
8,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,DC High Voltage test (Waterimmersion),"IS 10810 (Part 45), IS 694"
9,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Elongation at break (Insulation& sheath),"IS 10810 (Part 7), IS 694"
10,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Flammability test,"IS 10810 (Part 53), IS 694"
11,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Heat Shock test (Insulation &sheath),"IS 10810 (Part 14), IS 694"
12,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Hot Deformation (Insulation &sheath),"IS 10810 (Part 15), IS 694"
13,ELECTRICAL- CABLES &WIRES,PVC Insulated Unsheathed and Sheathed Cables/Cords withrigid and Flexible Conductor for rated Voltages up to andincluding 1100 V,Insulation Resistance constant,"IS 10810 (Part 43), IS 694"
