0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,10% of 3rd harmonic in thecurrent,Cl. 6.12 IS 16444 (Part 1):2015+ A1: 2017+A2
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Abnormal a.c. magneticinduction of external origin (10m T),Cl. 6.12 IS 16444 (Part 1):2015+ A1: 2017+A2
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Clearances and creepagedistances,Cl. 6.3 IS 16444 (Part 1):2015+ A1: 2017+A2
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Connection diagrams andterminal marking,Cl. 6.8 IS 16444 (Part 1):2015+ A1: 2017+A2
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Continuous abnormal magneticinduction of external origin (0.2 T),Cl. 6.12 IS 16444 (Part 1):2015+ A1: 2017+A2
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Continuous magnetic inductionof external origin (67 m T),Cl. 6.12 IS 16444 (Part 1):2015+ A1: 2017+A2
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Display of values,Cl. 6.6 IS 16444 (Part 1):2015+ A1: 2017+A2
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Fast transient burst test,Cl. 6.11 IS 16444 (Part 1):2015+ A1: 2017+A2
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Frequency variation,Cl. 6.12 IS 16444 (Part 1):2015+ A1: 2017+A2
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Immunity to earth fault,Cl. 6.10.7 IS 16444 (Part 1):2015+ A1: 2017+A2
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Immunity to electrostaticdischarges,Cl. 6.11 IS 16444 (Part 1):2015+ A1: 2017+A2
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Impulse voltage,Cl. 6.10.6 IS 16444 (Part 1):2015+ A1: 2017+A2
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meter Class 1and 2,Inuence of heating,Cl. 6.10.5 IS 16444 (Part 1):2015+ A1: 2017+A2
