0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of CO,AIS-137 (Part 7- A1)
2,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of CO,AIS-137 (Part 7- A2)
3,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of CO,"Mo RTH/CMVR/TAP/115-116 Issue-4,ECE R-96, ISO8178-2020, ISO8178-2017, 2004/26/EC(withdrawn), 2010/26/EU(withdrawn), 2002/88/EC(withdrawn), 97/68/EC(withdrawn), 77/537/EEC(withdrawn), 97/54/EC(withdrawn)"
4,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of CO2,AIS-137 (Part 7- A1)
5,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of CO2,AIS-137 (Part 7- A2)
6,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of CO2,"Mo RTH/CMVR/TAP/115-116 Issue-4,ECE R-96, ISO8178-2020, ISO8178-2017, 2004/26/EC(withdrawn), 2010/26/EU(withdrawn), 2002/88/EC(withdrawn), 97/68/EC(withdrawn), 77/537/EEC(withdrawn), 97/54/EC(withdrawn)"
7,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of HC,AIS-137 (Part 7- A1)
8,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of HC,AIS-137 (Part 7- A2)
9,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of HC,"Mo RTH/CMVR/TAP/115-116 Issue-4,ECE R-96, ISO8178-2020, ISO8178-2017, 2004/26/EC(withdrawn), 2010/26/EU(withdrawn), 2002/88/EC(withdrawn), 97/68/EC(withdrawn), 77/537/EEC(withdrawn), 97/54/EC(withdrawn)"
10,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of NH3,AIS-137 (Part 7- A1)
11,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of NH3,AIS-137 (Part 7- A2)
12,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of NOx,AIS-137 (Part 7- A1)
13,CHEMICAL-ATMOSPHERICPOLLUTION,"Agricultural Tractor, CEVs & Combine Harvesters",Measurement of NOx,AIS-137 (Part 7- A2)
