0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,250 N Steady Force,"UL 2054 Sec 23, Third Edition"
2,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Abnormal Charging,"UL 2054 Sec 12, Third Edition"
3,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Abusive Overcharge,"UL 2054 Sec 13, Third Edition"
4,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Battery Pack Component Temperature,"UL 2054 Sec 16, Third Edition"
5,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Crush,"UL 2054 Sec 18, Third Edition"
6,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Drop,"UL 2054 Sec 25, Third Edition"
7,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Forced discharge,"UL 2054 Sec 14, Third Edition"
8,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Heating,"UL 2054 Sec 27, Third Edition"
9,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Impact,"UL 2054 Sec 19, Third Edition"
10,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Mold Stress Relief,"UL 2054 Sec 24, Third Edition"
11,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Shock,"UL 2054 Sec 20, Third Edition"
12,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Short-Circuit,"UL 2054 Sec 11, Third Edition"
13,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Temperature Cycling,"UL 2054 Sec 28, Third Edition"
14,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Vibration,"UL 2054 Sec 21, Third Edition"
15,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Battery Pack Surface Temperature,"UL 2054 Sec 17, Third Edition"
16,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Label Permanence test,"UL 2054 Sec 29, Third Edition"
17,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Limited Power Source,"UL 2054 Sec 15, Third Edition"
18,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Limited Power Source,"UL 2054 Sec 15, Third Edition"
19,ELECTRICAL- CELLS &BATTERIES,Lead acid storage batteries For motor vehicleswith light weight and high cranking performance Lead acid storage batteries For motor vehicleswith light weight and high cranking performance,Over Charge Endurance,"Clause No. 9.3.13, IS14257"
20,ELECTRICAL- CELLS &BATTERIES,Lead acid storage batteries For motor vehicleswith light weight and high cranking performance Lead acid storage batteries For motor vehicleswith light weight and high cranking performance,Capacity ve Hours,"Clause No. 9.3.4, IS14257"
21,ELECTRICAL- CELLS &BATTERIES,Lead acid storage batteries For motor vehicleswith light weight and high cranking performance Lead acid storage batteries For motor vehicleswith light weight and high cranking performance,Life Cycle,"Clause No. 9.3.12, IS14257"
22,ELECTRICAL- CELLS &BATTERIES,Lead-Acid Storage Batteries for Motor Vehicleswith Light Weight and High Cranking Performance Specification ( First Revision ),Reserve Capacity,"Clause No. 9.3.7, IS14257"
