0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Abnormal Operation,"Clause No 19, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,"Clearances, Creepagedistances and solid Insulation.","Clause No. 22.6, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Components (Only Visual Inspection),"Clause No. 24.1.2, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,d) Electrical Strength Test and Clearances and Creepage,"Clause No. 22.6, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,e) Reliable xing of removableparts,"Clause No. 22.11, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Heating,"Clause No. 11, IEC60335-2-15:2012+AMD1:2016+AMD2: 2018, EN60335-2-15:2016+A12"
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Ingress Protection test(IPrating) (Only 2 X),"Clause No. 22.1, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Internal Wiring,"Clause No. 23.5, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Leakage current and Electricstrength,"Clause No. 16, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
10,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Leakage current and Electricstrength,"Clause No. 16, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
11,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Leakage current and Electricstrength.,"Clause No. 16.3 , IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
12,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Marking and Instructions,"Clause No. 7, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
13,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Moisture Resistance,"Clause No. 15.2 and 15.3, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
14,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Moisture Resistance,"Clause No. 15.2 and 15.3, IEC60335-2-15:2012+A1+A2:2018, EN 60335-2-15:2016+A1+A2"
