0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Change of Temperature Test / Thermal Shock,"IEC 60068-2-14 , Clause 8"
2,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Cold Test,IEC 60068-2-1
3,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Compositetemperature/humiditycyclic test,IEC 60068-2-38
4,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Damp Heat Cyclic test.,IS 9000 (Part 5) Sec 2
5,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components","Damp Heat test, Steadystate",IEC 60068-2-67
6,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components","Damp Heat, Cyclic test",IS 9000 (Part 5) Sec 1
7,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components","Damp Heat, Steady State",IS 9000 (Part 4)
8,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components","Damp heat, steady statetest",IEC 60068-2-78
9,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components","Damp heat, steady statetest","ISO 16750-4, Clause 5.7"
10,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Dry Heat / High Temperature test,"ISO 16750-4, Clause 5.1.2"
11,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Dry Heat / High Temperature test.,IS 9000 (Part 3) Sec 1 to 5
12,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Dry Heat/High Temperature test,IEC 60068-2-2
13,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components","Humid Heat, Cyclic test","ISO 16750-4, Clause 5.6"
14,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Rapid Change of Temperature/Temperature Shock,"IEC 60068-2-14, Clause 7"
15,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Salt Spray test,ASTM B117
16,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub Assemblies Accessories and components",Temperature Cycling test.,"ISO 16750-4, Clause 5.3"
17,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub-Assemblies Accessories and components",Cold Test / Low Temperature test,IS 9000 Part 2
18,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub-Assemblies Accessories and components",Cold Test/ Low Temperature Test,"ISO 16750-4, Clause 5.1.1"
19,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Electrical, Electromechanical, Electro Technical Automotive Products Including Sub-Assemblies Accessories and components.","Damp Heat Test, Cyclic","IEC 60068-2-30, Variant 2"
20,MECHANICAL-AUTOMOTIVECOMPONENTS,Window Regulator,Self Locking Test,BT/SGMWJ 06181 (Cl.No.5.5)
21,MECHANICAL-AUTOMOTIVECOMPONENTS,Window Regulator- Electric,Durability Test,BT/SGMW J08169
