0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power Transformer (upto 1000 k VA,11/0.433 k V)",Measurement of No Load Lossand Current,"IS 2026 (Part 1, Clause 10.5)"
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil Immersed Distribution Transformers (upto and including 1000 k VA, 11/0.433 k V)",Measurement of Winding Resistance,"IS 1180 (Part 1, Clause 21.2 a)"
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil Immersed Distribution Transformers (upto and including 1000 k VA ,11/0.433 k V)",Measurement of Load Lossesat 50 %,"IS 1180 (Part 1, Clause 21.2 c)"
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil Immersed Distribution transformers (upto and including 1000 k VA ,11/0.433 k V)",Induced Over Voltage Withstand Test,"IS 1180 (Part 1, Clause 21.2 f)"
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil Immersed Distribution Transformers (upto and including 1000 k VA ,11/0.433 k V)",Measurement of Voltage Ratioand Check of Phase Displacement,"IS 1180 (Part 1, Clause 21.2 b)"
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil Immersed Distribution Transformers (upto and including 1000 k VA ,11/0.433 k V)",Pressure Test (Routine),"IS 1180 (Part 1, Clause 21.2 h,21.5)"
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,Oil Immersed Distribution Transformers (upto and including 1000 k VA 11/0.433 k V),Measurement of Load Lossesat 100 %,"IS 1180 (Part 1, Clause 21.2 c)"
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,Oil Immersed Distribution Transformers (upto and including 1000 k VA 11/0.433 k V),Measurement of No Load Lossand Current,"IS 1180 (Part 1, Clause 21.2 d)"
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,Oil Immersed Distribution Transformers (upto and including 1000 k VA 11/0.433 k V),"Measurement of Short Circuit Impedance (Principal Tapping,when applicable) and Load Loss at 50% and 100 % Load","IS 1180 (Part 1, Clause 21.2 c)"
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,Oil Immersed Distribution Transformers (upto and including 1000 k VA 11/0.433 k V),Separate Source Voltage Withstand Test,"IS 1180 (Part 1, Clause 21.2 g)"
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil Immersed Distribution Transformers (upto and including 1000 k VA, 11/0.433 k V",Oil Leakage Test (Routine),"IS 1180 (Part 1, Clause 21.2 j,21.5)"
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil Immersed Distribution Transformers (upto and including 1000 k VA,11/0.433 k V)",Measurement of Insulation Resistance,"IS 1180 (Part 1, Clause 21.2 e)"
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,Power Transformers (upto 1000 k VA 11/0.433 k V,Measurement of Voltage Ratioand Check of Phase Displacement,"IS 2026 (Part 1, Clause 10.3)"
14,ELECTRICAL- INDUCTORS& TRANSFORMERS,Power Transformers (upto 1000 k VA 11/0.433 k V),Induced Over Voltage Withstand Test,"IS 2026 (Part 3, Clause 12)"
15,ELECTRICAL- INDUCTORS& TRANSFORMERS,Power Transformers (upto 1000 k VA 11/0.433 k V),Measurement of Insulation Resistance,IS 2026 (Part 1)
16,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power Transformers (upto 1000 k VA,11/0.433 k V)",Measurement of Load loss at 50 %,"IS 2026 (Part 1, Clause 10.4)"
17,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power Transformers (upto 1000 k VA,11/0.433 k V)",Measurement of Load Lossesat 100 %,"IS 2026 (Part 1,Clause 10.4)"
18,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power Transformers (upto 1000 k VA,11/0.433 k V)",Measurement of Winding Resistance,"IS 2026 (Part 1, Clause 10.2)"
19,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Power Transformers (upto 1000 k VA,11/0.433 k V)",Separate Source Voltage Withstand Test,"IS 2026 (Part 3, Clause 11)"
20,ELECTRICAL- INDUCTORS& TRANSFORMERS,Power Transformers (upto 1000 k VA/11/0.433 k V),Measurement of Short Circuit Impedance,"IS 2026 (Part 1, Clause 10.4)"
