0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Determination of theinstrument security factor (FS)of measuring currenttransformers,"IEC 61869-2, Cl.No.7.5.2"
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Determination of theinstrument security factor (FS)of measuring currenttransformers,"IS 16227 (Part 2), Cl.No.7.5.2"
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Determination of thesecondary winding resistance,"IEC 61869-2, Cl.No.7.3.201"
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Determination of thesecondary winding resistance,"IS 16227 (Part 2),Cl.No.7.3.201"
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Inter - turn over voltage test,"IEC 61869-2, Cl.No.7.3.204"
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Inter - turn over voltage test,"IS 16227 (Part 2),Cl.No.7.3.204"
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Measurement of capacitance,"IEC 61869-2, Cl.No.7.4.3"
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Measurement of capacitance,"IS 16227 (Part 2), Cl.No.7.4.3"
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Measurement of Insulationresistance,"JITL-11, Issue no 01, Issuedate: 28.04.2022"
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Partial discharge Measurement,"IEC 61869-2, Cl.No. 7.3.2"
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Current Transformers : Voltage rating : 11 k V to 72.5 k V,Ratio : 25 A to 1200 A, Accuracy Class : 0.2 S to 3",Partial discharge Measurement,"IS 16227 (Part 2), Cl.No. 7.3.2"
