0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Induced Over Voltage Withstand Test,"IS : 1180 (Part 1), Cl. 21.2(f)"
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Induced Over Voltage Withstand Test,"IS : 2026 (Part 3), Cl. 11.2"
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Insulation Resistance and Polarization Index,"IS : 1180 (Part 1), Cl. 21.2(e)"
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Insulation Resistance and Polarization Index,"IS : 2026 (Part 1), Cl. 10.1.3(j)"
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Lightning Impulse (Full Wave),"IS : 1180 (Part 1), Cl. 21.3(a)"
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Lightning Impulse (Full Wave),"IS :2026 (Part 3), Cl. 13.2 &13.3"
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",No load loss and No loadcurrent,"IS : 1180 (Part 1), Cl. 21.2(d)"
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",No load loss and No loadcurrent,"IS : 1180 (Part 1), Cl. 21.2(d)"
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",No load loss and No loadcurrent,"IS : 2026 (Part 1), Cl. 10.5"
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",No load loss and No loadcurrent,"IS : 2026 (Part 1), Cl. 10.5"
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Oil Leakage Test on Complete Transformer,"CBIP Manual - 317, Cl. 3.28 Sec BB"
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Oil Leakage Test on Complete Transformer,"IS : 1180 (Part 1), Cl. 21.2(j)"
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Pressure Deection,"CBIP Manual - 317, Cl. 17.3.1 Sec A"
14,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Pressure Deection,"IS : 1180 (Part 1), Cl. 21.5"
15,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers (100 k VA to 2500 k VA, upto 33k V)",Separate Source AC Withstand Voltage Test,"IS : 1180 (Part 1), Cl. 21.2(g)"
