0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Abnormal operation,"IS 18689:2024 Cl. 19, IEC60335-2-89:2019 Cl. 19, EN60335-2-89:2022+A11:2022 Cl. 19"
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Abnormal operation,"IS 302(Part 2 / sec 24): 1994 Cl. 19, IEC 60335-2-24: 2020 Cl. 19, EN60335-2-24:2022+A11:2022 Cl. 19"
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,"Clearances, Creepage Distances and Solid Insulation","IS 18689:2024 Cl. 29, IEC60335-2-89:2019 Cl. 29, EN60335-2-89:2022+A11:2022 Cl. 29"
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,"Clearances, Creepage Distances and Solid Insulation","IS 302(Part 2 / sec 24): 1994 Cl. 29, IEC 60335-2-24: 2020 Cl. 29, EN60335-2-24:2022+A11:2022 Cl. 29"
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Components,"IS 18689:2024 Cl. 24, IEC60335-2-89:2019 Cl. 24, EN60335-2-89:2022+A11:2022 Cl. 24"
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Components,"IS 302(Part 2 / sec 24): 1994 Cl. 24, IEC 60335-2-24: 2020 Cl. 24, EN60335-2-24:2022+A11:2022 Cl. 24"
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Construction,"IS 18689:2024 Cl. 22, IEC60335-2-89:2019 Cl. 22, EN60335-2-89:2022+A11:2022 Cl. 22"
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Construction,"IS 302(Part 2 / sec 24): 1994 Cl. 22, IEC 60335-2-24: 2020 Cl. 22, EN60335-2-24:2022+A11:2022 Cl. 22"
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Heating,"IEC 60335-2-98:2023 Cl. 11, EN60335-2-98:2003+A1+A2+A11: 2019 Cl.11"
10,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Heating,"IS 18689:2024 Cl. 11, IEC60335-2-89:2019 Cl. 11, EN60335-2-89:2022+A11:2022 Cl. 11"
11,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Heating,"IS 302(Part 2 / sec 24): 1994 Cl. 11, IEC 60335-2-24: 2020 Cl. 11, EN60335-2-24:2022+A11:2022 Cl. 11"
12,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Internal Wiring,"IEC 60335-2-98:2023 Cl. 23, EN60335-2-98:2003+A1+A2+A11: 2019 Cl.23"
13,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household and similar electrical appliances,Internal Wiring,"IS 18689:2024 Cl. 23, IEC60335-2-89:2019 Cl. 23, EN60335-2-89:2022+A11:2022 Cl. 23"
