0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- CORROSIONTESTS,Optical Fibre Cables / OPGW,Salt Spray Corrosion Test,"IEEE 1138 Cl.6.5.3.8: 2021,ASTM B117"
2,CHEMICAL- CORROSIONTESTS,"Stranded conductors, Carbon Fiber Thermoset Polymer Matrix Composite Core (CFC)",Salt spray test,ASTM B 117
3,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Stranded Conductor AL 59 Conductor,Resistance Test,SS 4240814 Cl.8
4,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Stranded Conductor AL 59 Conductor,Resistivity Test,SS 4240813 Cl.1.4
5,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Stranded Conductor AL 59 Conductor,Tensile Test on Joints in Aluminium Wire,SS 4240813 Cl.6
6,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Stranded Conductor AL 59 Conductor,Tensile Test on Joints in Aluminium Wire,SS 4240814 Cl.9
7,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Alloy Stranded Conductors (Aluminium-Magnesium-Silicon Type),Measurement of Diameter,IS 398 Part-4 Cl.7.1
8,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium and steel stranded conductors for overheadlines,Creep test,SS 112318
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Clad Steel Wires for Electrical Purposes,Thickness of Aluminium,IEC 61232 Cl.6.3.4
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Conductor and Aluminium Conductor Steel -Reinforced,Conductor Diameter,BS 215-1 Cl. 3.2 and Table 3
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Conductor and Aluminium Conductor Steel -Reinforced,Conductor Diameter,BS 215-2 Cl.3.2 and Table 4
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Conductor and Aluminium Conductor Steel -Reinforced,Diameter,BS 215-1 Cl. 3.1 and Table 2
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Conductor and Aluminium Conductor Steel -Reinforced,Diameter,"BS 215-2 Cl.3.1 and Table 2, 3"
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Conductor and Aluminium Conductor Steel -Reinforced,Elongation Test,BS 215-2 Cl.4.3.2
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Conductor and Aluminium Conductor Steel -Reinforced,Galvanizing Test,BS 215-2 Cl.4.3.2
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium Conductor and Aluminium Conductor Steel -Reinforced,Lay Ratio,BS 215-1 Cl. 3.4.2 and Table 1
