0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),Constructional Features,IS 8034 (Clause 6)
2,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),Design Features,IS 8034 (Clause 7)
3,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),High Voltage/ High Potential/ Withstand Voltage,IS 8034 (Clause 9.3)
4,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),Hydrostatic,IS 8034 (Clause 10.3)
5,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),Leakage Current,IS 8034 (Clause 9.4)
6,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),"Locked Rotor Test(Torque, Voltage, Current,Power)",IS 8034 (Clause 9.7 &9.10.f)
7,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),"No Load Test at Rated(Voltage, Current, Power,RPM)",IS 8034 (Clause 9.10.d)
8,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),"Pump Performance -Voltage, Current, Power,Speed, Head, Flow",IS 8034 (Clause 11)
9,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),"Reduced voltage Runningup (Voltage, Current,Power, RPM)",IS 8034 (Clause 9.10.e)
10,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),Stator Resistance,IS 8034 (Clause 9.10.c)
11,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),"Temperature Rise at Rated Voltage (Voltage,Current, Temperature,Resistance)",IS 8034 (Clause 9.5)
12,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),"Temperature Rise at Reduced Voltage(Voltage, Current,Temperature, Resistance)",IS 8034 (Clause 9.5)
13,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),Direction of Rotation,IS 8034 (Clause 8.7)
14,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),Insulation Resistance,IS 8034 (Clause 9.2)
15,ELECTRICAL-ROTATINGELECTRICALMACHINES,Bore Well Submersible Pump Set (0.37 k W to 75k W),Verication of Marking/Rating Plate,IS 8034 (Clause 14)
16,ELECTRICAL-ROTATINGELECTRICALMACHINES,Monoset Pump for Agricultural Purpose (0.37 k Wto 25 k W),Constructional Features,IS 9079 (Clause 7)
17,ELECTRICAL-ROTATINGELECTRICALMACHINES,Monoset Pump for Agricultural Purpose (0.37 k Wto 25 k W),Design Features,IS 9079 (Clause 9)
