0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Ageing in air oven Elongationat Break-Variation (XLPEinsulation),"IS 10810(Part-11), IS 14255"
2,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Ageing in air oven Tensile Strength-Variation (XLPEinsulation),"IS 10810(Part-11), IS 14255"
3,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Bending test on the completed Cable,IS 14255 Clause 11.4
4,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Breaking load (messengerconductor),"IS 10810(Part-2), IS 14255"
5,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Elongation at break (XLPEinsulation),"IS 10810(Part-7), IS 14255"
6,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Elongation test (Messengerconductor),IS 14255
7,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,High Voltage test,"IS 10810(Part-45), IS 14255"
8,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Hot set test (XLPE insulation)Permanent,"IS 10810(Part-30), IS 14255"
9,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Hot set test (XLPE insulation)Under Load,"IS 10810(Part-30), IS 14255"
10,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Insulation resistance (Volume Resistivity) test,"IS 10810(Part-43), IS 14255"
11,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Resistance test (Forphase/street light conductor),"IS 10810(Part-5), IS 14255"
12,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Resistance test (Messengerconductor),"IS 10810(Part-5), IS 14255"
13,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Shrinkage test (XLPEinsulation),"IS 10810(Part-12), IS 14255"
14,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Tensile strength (XLPEinsulation),"IS 10810(Part-7), IS 14255"
15,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Tensile test (For phase/streetlight conductor),"IS 10810(Part-2), IS 14255"
16,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Test for thickness of Insulation,"IS 10810(Part-6), IS 14255"
17,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Water absorption (gravimetric)(XLPE insulation),"IS 10810(Part-33), IS 14255"
18,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Wrapping Test (Forphase/street light conductor),"IS 10810(Part-3), IS 14255"
19,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,High Voltage test,"IS 10810(Part-45), IS7098(Part-1)"
20,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Tensile strength (Insulation&outer sheath),"IS 10810(Part-7), IS7098(Part-1)"
21,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Thermal stability (outersheath),"IS 10810(Part-60), IS7098(Part-1)"
22,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Cold Bend test (Up to 12.5 mmdia.) (Outer sheath),"IS 10810(Part-20), IS7098(Part-1)"
23,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Cold Impact test (Above to 12.5 mm dia.) (Outer sheath),"IS 10810(Part-21), IS7098(Part-1)"
24,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Elongation at break (Insulation&outer sheath),"IS 10810(Part-7), IS7098(Part-1)"
25,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Elongation at break for roundsteel wires amour,"IS 10810(Part-37), IS7098(Part-1)"
26,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Flammability test,"IS 10810(Part-53),IS7098(Part-1)"
27,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Halogen acid gas evolution,"IS 10810(Part-59), IS7098(Part-1)"
28,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Hot deformation (outer sheath),"IS 10810(Part-15),IS7098(Part-1)"
29,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Hot Set Test,"IS 10810(Part-30), IS7098(Part-1)"
30,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Hot set test-Permanent(Insulation),"IS 10810 (Part-30), IS7098(Part-1)"
31,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Insulation resistance (Volumeresistivity test),"IS 10810(Part-43),IS7098(Part-1)"
32,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Loss of mass test in air oven(outer sheath),"IS 10810(Part-10), IS7098(Part-1)"
33,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Oxygen Index test (For C1 &C2 category),"IS 10810(Part-58), IS7098(Part-1)"
34,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Shrinkage test (outer sheath),"IS 10810(Part-12), IS7098(Part-1)"
35,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Tensile strength for steel Striparmour,"IS 10810(Part-37), IS7098(Part-1)"
36,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Uniformity of zinc coating(Round steel wire/formed steelwire (strip) armour),"IS 10810(Part-41), IS 7098(Part-1)"
37,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Water absorption (gravimetric)(Insulation),"IS 10810(Part-33),IS7098(Part-1)"
38,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Wrapping Test (for Aluminum),"IS 10810(Part-3), IS7098(Part-1)"
39,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Tensile strength (for Aluminum),"IS 10810(Part-2), IS7098(Part-1)"
40,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Ageing in air oven -Elongation(Insulation &outer sheath),"IS 10810(Part-11), IS7098(Part-1)"
41,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Ageing in air oven-Tensile Strength (Insulation & outersheath),"IS 10810(Part-11), IS7098(Part-1)"
42,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Annealing tests (for Copper),"IS 10810(Part-1), IS7098(Part-1)"
43,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Conductor Resistance test,"IS 10810(Part-5), IS7098(Part-1)"
44,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Dimensions (Round steelwire/formed steel wire (strip)armour),"IS 10810(Part-36), IS7098(Part-1)"
45,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Flame retardance test onbunched cables (For C1 & C2category),"IS 10810(Part-62), IS7098(Part-1)"
46,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Flame retardance test onsingle cable (For C1 & C2category),"IS 10810(Part-61), IS7098(Part-1)"
47,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Heat shock test (outer sheath),"IS 10810(Part-14), IS7098(Part-1)"
48,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Mass of Zinc Coating (Roundsteel wire/formed steel wire(strip) armour),"IS 10810(Part-41), IS7098(Part-1)"
49,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Resistivity (Round steelwire/formed steel wire (strip)armour),"IS 10810(Part-42), IS7098(Part-1)"
50,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Smoke density,"IS 13360(Part-6/Sec-9), IS7098(Part-1)"
51,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Test for thickness of Insulation& Sheath,"IS 10810(Part-6), IS7098(Part-1)"
52,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Torsion test for round steelwires armour,"IS 10810(Part-38), IS7098(Part-1)"
53,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Winding test for formed steelwire (strip) armour,"IS 10810(Part-39), IS7098(Part-1)"
54,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Armour Coverage percentage,IS 7098(Part-1) Clause 13.1.2 Appendix-C
55,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts,Temperature Index (For C1 &C2 category),"IS 10810(Part-64),IS7098(Part-1)"
56,ELECTRICAL- CABLES &WIRES,Polyvinyl Chloride Insulated Cables,Halogen Acid Gas Evolutions,IEC 60754-1
57,ELECTRICAL- CABLES &WIRES,Polyvinyl Chloride Insulated Cables,Oxygen Index,ASTM D 2863
58,ELECTRICAL- CABLES &WIRES,Polyvinyl Chloride Insulated Cables,Smoke Density Rating,ASTM D 2843
59,ELECTRICAL- CABLES &WIRES,Polyvinyl Chloride Insulated Cables,Temp. Index,ASTM D 2863
60,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Cold Impact test (Above to 12.5 mm dia.),"IS 10810(Part-21), IS1554(Part-1)"
61,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Elongation at break (formedsteel wire(strip) armour),"IS 10810(Part-37), IS1554(Part-1)"
62,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,AC High Voltage test (Waterimmersion test),"IS 10810(Part-45), IS1554(Part-1)"
63,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Ageing in air oven- Elongation(Insulation &outer sheath),"IS 10810(Part-11), IS1554(Part-1)"
64,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Ageing in air oven- Tensile Strength (Insulation &outersheath),"IS 10810(Part-11), IS1554(Part-1)"
65,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Annealing tests (for copper),"IS 10810(Part-1), IS1554(Part-1)"
66,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Armour Coverage percentage,IS 1554(Part-1) Clause 13.1.2 Appendix-C
67,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Cold Bend test (Up to 12.5 mmdia.),"IS 10810(Part-20), IS1554(Part-1)"
68,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Conductor resistance test,"IS 10810(Part-5), IS1554(Part-1)"
69,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,DC High Voltage test (Waterimmersion),"IS 10810(Part-45), IS1554(Part-1)"
70,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Dimension (Round steelwire/formed steel wire(strip)armour),"IS 10810(Part-36), IS1554(Part-1)"
71,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Elongation (Insulation &outersheath),"IS 10810(Part-7), IS1554(Part-1)"
72,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Flame Retardance test on Bunched Cables (for C1 & C2category),"IS 10810(Part-62), IS1554(Part-1)"
73,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Flame Retardance test on Single Cable (for C1 & C2category),"IS 10810(Part-61), IS1554(Part-1)"
74,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Flammability test,"IS 10810(Part-53), IS1554(Part-1)"
