0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Ageing in air oven Elongationat Break-Variation (XLPEinsulation),"IS 14255, IS 10810 (Part-11)"
2,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Ageing in air oven Tensile Strength-Variation (XLPEinsulation),"IS 14255, IS 10810 (Part-11)"
3,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Bending on the completed Cable,IS 14255 Clause no. 11.4
4,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Breaking load (messengerconductor),"IS 14255, IS 10810 (Part-2)"
5,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Carbon Black Content,"IS 14255, IS 10810 (Part-32)"
6,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Elongation (Messengerconductor),IS 14255
7,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Elongation at break (XLPEinsulation),"IS 14255, IS 10810 (Part-7)"
8,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,High Voltage,"IS 14255, IS 10810 (Part-45)"
9,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Hot set (XLPE insulation)Permanent,"IS 14255, IS 10810 (Part-30)"
10,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Hot set (XLPE insulation) Under Load,"IS 14255, IS10810 (Part-30)"
11,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Insulation resistance (Volume Resistivity),"IS 14255, IS 10810 (Part-43)"
12,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Resistance (For phase/streetlight conductor),"IS 14255, IS 10810 (Part-5)"
13,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Resistance (Messengerconductor),"IS 14255, IS 10810 (Part-5)"
14,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Shrinkage (XLPE insulation),"IS 14255, IS 10810 (Part-12)"
15,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Tensile (For phase/street lightconductor),"IS 14255, IS 10810 (Part-2)"
16,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Tensile strength (XLPEinsulation),"IS 14255, IS 10810 (Part-7)"
17,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Thickness of Insulation,"IS 14255, IS 10810 (Part-6)"
18,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Water absorption (gravimetric)(XLPE insulation),"IS 14255, IS 10810 (Part-33)"
19,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables- For Working Voltages up to andincluding 1100 volts,Wrapping (For phase/streetlight conductor),"IS 14255, IS 10810 (Part-3)"
20,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Ageing in air oven -Elongation(Insulation &outer sheath),"IS 7098(Part-1), IS 10810(Part-11)"
21,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Ageing in air oven-Tensile Strength (Insulation &outersheath),"IS 7098(Part-1), IS 10810(Part-11)"
22,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Annealing (for Copper),"IS 7098(Part-1), IS 10810(Part-1)"
23,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Armour Coverage percentage,"IS 7098(Part-1),Appendix-C"
24,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Cold Bend (Up to 12.5 mm dia.)(Outer sheath),"IS 7098(Part-1), IS 10810(Part-20)"
25,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Cold Impact (Above to 12.5mm dia.) (Outer sheath),"IS 7098(Part-1), IS 10810(Part-21)"
26,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Conductor Resistance,"IS 7098(Part-1), IS 10810(Part-5)"
27,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Dimensions (Round steelwire/formed steel wire (strip)armour),"IS 7098(Part-1), IS 10810(Part-36)"
28,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Elongation at break (Insulation&outer sheath),"IS 7098(Part-1), IS 10810(Part-7)"
29,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Elongation at break for roundsteel wires amour,"IS 7098(Part-1), IS 10810(Part-37)"
30,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Flame retardance on bunchedcables (For C1 & C2 category),"IS 7098(Part-1), IS 10810(Part-62)"
31,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Flame retardance on singlecable (For C1 & C2 category),"IS 7098(Part-1), IS 10810(Part-61)"
32,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Flammability,"IS 7098(Part-1), IS 10810(Part-53)"
33,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Halogen acid gas evolution,"IS 7098(Part-1), IS 10810(Part-59)"
34,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Heat shock (outer sheath),"IS 7098(Part-1), IS 10810(Part-14)"
35,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,High Voltage,"IS 7098(Part-1), IS 10810(Part-45)"
36,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Hot deformation (outer sheath),"IS 7098(Part-1), IS 10810(Part-15)"
37,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Hot set-Permanent (Insulation),"IS 7098(Part-1), IS 10810(Part-30)"
38,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Hot set-Under Load (Insulation),"IS 7098(Part-1), IS 10810(Part-30)"
39,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Insulation resistance (Volumeresistivity),"IS 7098(Part-1), IS 10810(Part-43)"
40,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Loss of mass in air oven (outersheath),"IS 7098(Part-1), IS 10810(Part-10)"
41,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Mass of Zinc Coating (Roundsteel wire/formed steel wire(strip) armour),"IS 7098(Part-1), IS 10810(Part-41)"
42,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Oxygen Index (For C1 & C2category),"IS 7098(Part-1), IS 10810(Part-58)"
43,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Resistivity (Round steelwire/formed steel wire (strip)armour),"IS 7098(Part-1), IS 10810(Part-42)"
44,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Shrinkage (outer sheath),"IS 7098(Part-1), IS 10810(Part-12)"
45,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Temperature Index (For C1 &C2 category),"IS 7098(Part-1), IS 10810(Part-64)"
46,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Tensile strength (for Aluminum),"IS 7098(Part-1), IS 10810(Part-2)"
47,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Tensile strength (Insulation&outer sheath),"IS 7098(Part-1), IS 10810(Part-7)"
48,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Tensile strength for steel Striparmour,"IS 7098(Part-1), IS 10810(Part-37)"
49,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Thermal stability (outersheath),"IS 7098(Part-1), IS 10810(Part-60)"
50,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Thickness of Insulation &Sheath,"IS 7098(Part-1), IS 10810(Part-6)"
51,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Torsion for round steel wiresarmour,"IS 7098(Part-1), IS 10810(Part-38)"
52,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Uniformity of zinc coating(Round steel wire/formed steelwire (strip) armour),"IS 7098(Part-1), IS 10810(Part-41)"
53,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Water absorption (gravimetric)(Insulation),"IS 7098(Part-1), IS 10810(Part-33)"
54,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Winding for formed steel wire(strip) armour,"IS 7098(Part-1), IS 10810(Part-39)"
55,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastic Sheathed Cables For working voltages up to and including 1100 volts.,Wrapping (for Aluminum),"IS 7098(Part-1), IS 10810(Part-3)"
56,ELECTRICAL- CABLES &WIRES,Fire integrity of large diameter power cable for use ascomponents for smoke and heat control systems andcertain other active re safety systems,Resistance to re alone(Protocol C),BS 8491
57,ELECTRICAL- CABLES &WIRES,Fire integrity of large diameter power cable for use ascomponents for smoke and heat control systems andcertain other active re safety systems,Resistance to re withmechanical shock (Protocol Z),BS 6387
58,ELECTRICAL- CABLES &WIRES,Fire integrity of large diameter power cable for use ascomponents for smoke and heat control systems andcertain other active re safety systems,Resistance to re with water(Protocol W),BS 6387
59,ELECTRICAL- CABLES &WIRES,Polyvinyl Chloride Insulated Cables,Halogen Acid Gas Evolutions,IEC 60754-1
60,ELECTRICAL- CABLES &WIRES,Polyvinyl Chloride Insulated Cables,Oxygen Index,ASTM D 2863
61,ELECTRICAL- CABLES &WIRES,Polyvinyl Chloride Insulated Cables,Smoke Density Rating,ASTM D 2843
62,ELECTRICAL- CABLES &WIRES,Polyvinyl Chloride Insulated Cables,Temperature Index,ASTM D 2863
63,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,AC High Voltage (Waterimmersion),"IS 1554(Part-1), IS 10810(Part-45)"
64,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Ageing in air oven- Elongation(Insulation &outer sheath),"IS 1554(Part-1), IS 10810(Part-11)"
65,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Ageing in air oven- Tensile Strength (Insulation &outersheath),"IS 1554(Part-1), IS 10810(Part-11)"
66,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Annealing (for copper),"IS 1554(Part-1), IS 10810(Part-1)"
67,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Armour Coverage percentage,"IS 1554(Part-1), Appendix-C"
68,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Cold Bend (Up to 12.5 mm dia.),"IS 1554(Part-1), IS 10810(Part-20)"
69,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Cold Impact (Above to 12.5mm dia.),"IS 1554(Part-1), IS 10810(Part-21)"
70,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Conductor resistance,"IS 1554(Part-1), IS 10810(Part-5)"
71,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,DC High Voltage (Waterimmersion),"IS 1554(Part-1), IS 10810(Part-45)"
72,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Dimension (Round steelwire/formed steel wire(strip)armour),"IS 1554(Part-1), IS 10810(Part-36)"
73,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Elongation (Insulation &outersheath),"IS 1554(Part-1), IS 10810(Part-7)"
74,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For workingvoltages Up to and Including 1100 V,Flame Retardance on Bunched Cables (for C1 & C2 category),"IS 1554(Part-1), IS 10810(Part-62)"
