0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Copper Cathode & Copper Rod,Antimony,BS EN 15079
2,CHEMICAL- METALS &ALLOYS,Copper Cathode and Copper Rod,Arsenic,BS EN 15079
3,CHEMICAL- METALS &ALLOYS,Copper Cathode and Copper Rod,Bismuth,BS EN 15079
4,CHEMICAL- METALS &ALLOYS,Copper Cathode and Copper Rod,Iron,BS EN 15079
5,CHEMICAL- METALS &ALLOYS,Copper Cathode and Copper Rod,Lead,BS EN 15079
6,CHEMICAL- METALS &ALLOYS,Copper Cathode and Copper Rod,Nickel,BS EN 15079
7,CHEMICAL- METALS &ALLOYS,Copper Cathode and Copper Rod,Silver,BS EN 15079
8,CHEMICAL- METALS &ALLOYS,Copper Cathode and Copper Rod,Sulphur,BS EN 15079
9,CHEMICAL- METALS &ALLOYS,Copper Cathode and Copper Rod,Tellurium,BS EN 15079
10,CHEMICAL- METALS &ALLOYS,Copper Cathode and Copper Rod,Tin,BS EN 15079
11,CHEMICAL- METALS &ALLOYS,Copper Cathodes & Copper Rods,Selenium,BS EN 15079
12,CHEMICAL- METALS &ALLOYS,Copper Rod,Oxygen,ASTM E 2575
13,CHEMICAL- METALS &ALLOYS,Copper Rod,Surface Oxide,ASTM B 49 Para 13.5
15,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rod,Elongation,ASTM E8/E8 M
16,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rod,Tensile Strength,ASTM E8/E8 M
17,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Copper Rod,Diameter,In house Test Method -LAB/QLT/WI/07
