0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current transformer up to 220 k V,Measurement of Capacitance &Dielectric Dissipation Factor,IEC 61869-1 (Clause 7.4.3)
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current transformer up to 220 k V,Measurement of Capacitance &Dielectric Dissipation Factor,"IS 16227 (Part 1, Clause 7.4.3)"
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Partial Discharge Test,"IS 16227 (Part 1, Clause 7.3.2)"
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Measurement of Knee Point Voltage and Exciting Current,"IS 16227 (Part 2, Clause 7.3.203)"
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Instrument Security Factor of Measuring Current Transformer,IEC 61869-2 (Clause 7.2.6.202)
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Instrument Security Factor of Measuring Current Transformers,"IS 16227 (Part 2, Clause 7.2.6.202)"
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Inter-turn Over-voltage Test,IEC 61869-2 (Clause 7.3.204)
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Inter-turn Over-voltage Test,"IS 16227 (Part 2, Clause 7.3.204)"
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Measurement of Capacitance &Dielectric Dissipation Factor,IEC 61869-1 (Clause 7.4.3)
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Measurement of Capacitance &Dielectric Dissipation Factor,"IS 16227 (Part 1, Clause 7.4.3)"
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Measurement of Composite Error,IEC 61869-2 (Clause 7.2.6.203& 7.3.5.203)
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Measurement of Composite Error,"IS 16227 (Part 2, Clause 7.2.6.203 & 7.3.5.203)"
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Measurement of Knee Point Voltage and Exciting Current,IEC 61869-2 (Clause 7.3.203)
14,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Measurement of Secondary Winding Resistance,IEC 61869-2 (Clause 7.3.201)
15,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Measurement of Secondary Winding Resistance,"IS 16227 (Part 2, Clause 7.3.201)"
16,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Partial Discharge Test,IEC 61869-1 (Clause 7.3.2)
17,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Power Frequency Voltage Withstand Tests on Primary Terminals,IEC 61869-2 (Clause 7.3.1)
18,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformers up to 220 k V,Power Frequency Voltage Withstand Tests on Primary Terminals,"IS 16227 (Part 2, Clause 7.3.1)"
