0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Cables required to maintain circuit integrityunder re conditions,Resisitance to re Alone (Category -C ),"BS 6387, Annex D 2"
2,ELECTRICAL- CABLES& WIRES,Cables required to maintain circuit integrityunder re conditions,Resisitance to re withmechanical Shock,BS 6387 Annex D 4
3,ELECTRICAL- CABLES& WIRES,Cables required to maintain circuit integrityunder re conditions,Resistance to re withwater ( Protocol W),"BS 6387, Annex D 3"
4,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Ageing in air oven,IS 10810 (Part 11)
5,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Annealing test for copperwire,IS 10810 (Part 1)
6,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Armour Coverage Percentage Test,IS 7098 (Part 1)
7,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Cold bend Test,IS 10810 (Part 20)
8,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Cold Impact Test,IS 10810 (Part 21)
9,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Conductor Resistance,IS 10810 (Part 5)
10,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Dimension for armouringmaterial,IS 10810 (Part 36)
11,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Elongation at break forarmouring material,IS 10810 (Part 37)
12,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Flame Retardance Test on Bunched cable,IS 10810 (Part 62)
13,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Flame Retardant Test on Single cable (Swidish Chimney),IS 10810 (Part 61)
14,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Flammability Test,IS 10810 (Part 53)
15,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Heat Shock,IS 10810 (Part 14)
16,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,High Voltage test at roomtemperature,IS 10810 (Part 45)
17,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Hot Set Test,IS 10810 (Part 30)
18,ELECTRICAL- CABLES& WIRES,Crosslinked Polyethylene Insulated andthermoplastic sheathed cable for working voltageup to and including 1100 V,Insulation Resistance(Volumeresistivity),IS 10810 (Part 43)
