0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electricity Metering Equipment - Static meters for AC activeenergy (Classes 0.5 and 1),Frequency Variation,"IEC 62052-11 (Clause No.9.4.6), IEC 62053-21 (Clause No. 7.10)"
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electricity Metering Equipment - Static meters for AC activeenergy (Classes 0.5 and 1),Interruption of Phase Voltage,"IEC 62052-11 (Clause No.9.4.5), IEC 62053-21 (Clause No. 7.10)"
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electricity Metering Equipment - Static meters for AC activeenergy (Classes 0.5 and 1),Limits of Error due to Variationof the Current,"IEC 62052-11 (Clause No. 7.9),IEC 62053-21 (Clause No. 7.10)"
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electricity Metering Equipment - Static meters for AC activeenergy (Classes 0.5 and 1),Reverse Phase Sequence,"IEC 62052-11 (Clause No.9.4.7), IEC 62053-21 (Clause No. 7.10)"
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electricity Metering Equipment - Static meters for AC activeenergy (Classes 0.5 and 1),Voltage Variation,"IEC 62052-11 (Clause No.9.4.3), IEC 62053-21 (Clause No. 7.10)"
6,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Multiple Function Equipment Transfer Switching Equipment,Leakage Current (Dielectric Properties),IEC 60947 (Part 6-1)
7,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Multiple Function Equipment Transfer Switching Equipment,Leakage Current (Dielectric Verication),IEC 60947 (Part 6-1)
8,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Multiple function equipment Transfer switchingequipment,Operational Performance(Mechanical Operational Performance),IEC 60947 (Part 6-1)
9,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Multiple Function Equipment Transfer Switching Equipment,Temperature Rise Test,IEC 60947 (Part 6-1)
10,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Multiple Function Equipment Transfer Switching Equipment,Temperature Rise Verication,IEC 60947 (Part 6-1)
11,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Multiple Function Equipment Transfer Switching Equipment,Verication of Main Contact Position,IEC 60947 (Part 6-1)
12,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Multiple function equipment Transfer switchingequipment,Verication of Main Contact Position (Dependent Power Operation),IEC 60947 (Part 6-1)
13,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Multiple Function Equipment Transfer Switching Equipment Units,Power Frequency Withstand Voltage (Dielectric Properties),IEC 60947 (Part 6-1)
14,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,Multiple Function Equipment Transfer Switching Equipment Units,Power Frequency Withstand Voltage (Dielectric Verication),IEC 60947 (Part 6-1)
15,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Dielectric Properties Leakage Current,IEC 60947 (Part 3)
16,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Dielectric Verication Power Frequency Withstand Voltage,IS/IEC 60947 (Part 3)
17,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Dielectric Verication Leakage Current,IEC 60947 (Part 3)
18,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Leakage Current (Dielectric Properties),IS/IEC 60947 (Part 3)
19,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Leakage Current (Dielectric Verication),IEC 60947 (Part 3)
20,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Operational Performance(Mechanical Endurance Test),IEC 60947 (Part 3)
21,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Operational Performance(Mechanical Endurance Test),IS/IEC 60947 (Part 3)
22,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Overload Test,IEC 60947 (Part 3)
23,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Overload Test,IS/IEC 60947 (Part 3)
24,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Power Frequency Withstand Voltage (Dielectric Properties),IEC 60947 (Part 3)
25,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Power Frequency Withstand Voltage (Dielectric Properties),IS/IEC 60947 (Part 3)
26,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Power Frequency Withstand Voltage (Dielectric Verication),IEC 60947 (Part 3)
27,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Strength of Actuator Mechanism,IEC 60947 (Part 3)
28,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Strength of Actuator Mechanism,IS/IEC 60947 (Part 3)
29,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Temperature Rise Test,IEC 60947 (Part 3)
30,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Temperature Rise Test,IS/IEC 60947 (Part 3)
31,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Temperature Rise Verication,IS/IEC 60947 (Part 3)
32,ELECTRICAL-SWITCHGEAR &PROTECTIVE EQUIPMENT,"Switches, Disconnectors, Switch-disconnectors and Fuse Combination Unit",Temperature Rise Verication Test,IEC 60947 (Part 3)
