0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium conductor for overhead transmissionpurposes. part 6: High conductivity aluminiumalloy stranded conductors,DC resistance test onstranded conductor,IS 398 (Part 6)
2,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Armor rods,Electrical Resistance Test/ Conductivity Test,IS 2121 (Part I) Clause 7.5
3,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bird ight diverter,Heat cycle test,CEA Technicalspecication for Bird Flight Diverter (BFD) CEA-PS-14-75/2/2022-PSETDDivision/274-338
4,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Covered conductors for overhead lines and therelated accessories for rated voltages above 1 k VAC and not exceeding 36 k V AC - Accessories ofcovered conductor (connector),Electrical ageing test forconnectors,BS EN 50483-5
5,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Earthwire tension clamp assembly / Mid spancompression joints,Electrical Resistance Test,IS 2121 (Part 3) Clause 5.3
6,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electric Connectors,Current Cycle Test,"ANSI NEMA C119.0,Clause 5.1"
7,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electric Power Connection for Substations(Connectors / Bus Supports),Temperature Rise Test,ANSI/NEMA CC 1 Clause 3.1
8,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electric Power Connectors,Resistance test,IS 5561 Clause 12
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electric Power Connectors,Temperature rise test,IS 5561 Clause 13
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Electrical Connectors,Current Cycle Test,ANSI NEMA C119.0 Clause 5.1
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Flexible Copper Bond/ Earth Bond/ Flexible Aluminium Bond,Electrical Resistance Test,IS 398-1 Clause 12.5
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Individual wires of aluminium conductor foroverhead transmission purposes. part 5:aluminium conductors - galvanized steel -reinforced for extra high voltage (400 k V andabove),Resistance test,IS 398 (Part 5)
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Individual wires of aluminium conductor foroverhead transmission purposes. part 2:aluminium conductors - galvanized steel -reinforced,Resistance test,IS 398 (Part 2)
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Individual wires of aluminium conductor foroverhead transmission purposes. part 6: Highconductivity aluminium alloy stranded conductors,Resistivity test,IS 398 (Part 6)
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Individual wires of aluminium conductors foroverhead transmission purposes part 1:aluminium stranded conductors,Resistance test,IS 398 (Part 1)
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Individual wires of aluminium conductors foroverhead transmission purposes part 3:aluminium conductors, aluminized-steelreinforced",Resistance test,IS 398 (Part 3)
