0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- EMI /EMC TEST FACILITY,Electrical and Electronics Products,Conducted Emission Test:Disturbance Voltage Test- Mains terminals,BS EN 55015+A1; Cl 4.3. (Table 2a)
2,ELECTRICAL- EMI /EMC TEST FACILITY,Electrical and Electronics Products,Conducted Emission Test:Limits and methods forthe assessment of wirednetwork ports- Electricpower supply interface,"CISPR 15 Ed.9.0 b, Cl 4.3.( Table 1)"
3,ELECTRICAL- EMI /EMC TEST FACILITY,Electrical and Electronics Products,Voltage Dips and Short Interruption Test,BS EN IEC 61000-4-11; Cl 5.2 & 5.3
4,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronics Products,"Protection againstmechanical Impacts Verication: Spring Impact Hammer: (IK01,IK02,IK03, IK04, IK05)Pendulum Hammer:(IK06,IK07,IK08, IK09 &IK10)",IEC 62262
5,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronics Products,Salt Spray (Fog) Test /Saltmist Test,ASTM B117-19
6,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Electrical and Electronics Products,Vibration Test,BS EN 60068-2-6
7,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,Creepage Distance &Clearances,IS 10322 (Part 5/Sec 1)(Cl. 8)
8,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General purpose Luminaries,Endurance and Thermal Test,IS 10322 (Part 5/Sec 1)(Cl. 13)
9,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,"Insulation Resistance,Electric Strength",IS 10322 (Part 5/Sec 1)(Cl. 15)
10,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,Resistance to Dust and Moisture (IP Test),IS 10322 (Part 5/Sec 1)(Cl. 14)
11,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaries,Resistance to Heat,IS 10322 (Part 5/Sec 1)(Cl. 16)
12,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose luminaries,Verication of Marking,IS 10322 (Part 5/Sec 1)(Cl. 6)
13,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,Creepage Distance &Clearances,IS 10322 (Part 5/Sec 5)(Cl. 8)+AMD1
14,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,Endurance and Thermal Test,IS 10322 (Part 5/Sec 5)(Cl. 13)+AMD1
15,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,"Insulation Resistance,Electric Strength",IS 10322 (Part 5/Sec 5)(Cl. 15)+AMD1
16,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,Resistance to Dust and Moisture (IP Test),IS 10322 (Part 5/Sec 5)(Cl. 14)+AMD1
17,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Flood Lights,Resistance to Heat,IS 10322 (Part 5/Sec 5)(Cl. 16)+AMD1
