0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),Full Load Test - Current,IS 12615 (Clause 16.1.4)
2,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),Full Load Test - Frequency,"IS 12615 (Clause 16.3.5),IS 15999 (Part 1, Clause 8)"
3,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),Full Load Test - Power Input,IS 12615 (Clause 16.1.4)
4,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),Full Load Test - Speed,"IS 12615 (Clause 16.3.4),IS 15999 (Part 1, Clause 9.7)"
5,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),Full Load Test - Voltage,IS 12615 (Clause 16.1.4)
6,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),No-Load Running Test -Current,"IS 12615 (Clause 16.1.3),IS 15999 (Part 2, Sec 1),IS 15999 (Part 1, Clause 9.1), IEC 60034-1"
7,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),No-Load Running Test -Frequency,"IS 12615 (Clause 16.1.3),IS 15999 (Part 2, Sec 1),IS 15999 (Part 1, Clause 9.1), IEC 60034-1"
8,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),No-Load Running Test -Power Input,"IS 12615 (Clause 16.1.3),IS 15999 (Part 2, Sec 1),IS 15999 (Part 1, Clause 9.1), IEC 60034-1"
9,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),No-Load Running Test -Speed,"IS 12615 (Clause 16.1.3),IS 15999 (Part 2, Sec 1),IS 15999 (Part 1, Clause 9.1), IEC 60034-1"
10,ELECTRICAL-ROTATINGELECTRICALMACHINES,Three Phase A.C. Synchronous Motors for General Purpose (upto 22 k W),No-Load Running Test -Voltage,"IS 12615 (Clause 16.1.3),IS 15999 (Part 2, Sec 1),IS 15999 (Part 1, Clause 9.1), IEC 60034-1"
