0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages up to and including 1100 V.,Water Absorption Test(Gravimetric),"(Cl. 15.1 d(v) & Table 1 (vi),IS:7098 (Part-1):1988,IS:10810(Part-33)"
2,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages up to and including 1100 V.,Annealing Test(For Copper ),"Cl. 15.1 (a) i & 15.2 (a), IS:7098 (Part-1) : 1988,IS:10810(Part-1)"
3,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables fo rworking voltages from 3.3k V to 33 k V,Carbon Black Content Test,"Cl. 19.1 vi (h), Table - 3, IS7098 (Part -2) : 2011, IS 10810(Part-32)"
4,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages from 3.3k V to 33 k V,Elongation at break after Thermal ageing test forcomplete cable/Additional Ageing Test on pieces of Completed Cables,"Cl. 19.1 vii, Cl. 20.9, IS:7098(Part 2) : 2011, IS 10810 (Part 7)"
5,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages from 3.3k V to 33 k V,Tensile Strength after Thermalageing test for completecable/Additional Ageing Test onpieces of Completed Cables,"Cl. 19.1 vii, Cl. 20.9, IS:7098(Part 2) : 2011, IS 10810 (Part 7)"
6,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages from 3.3k V to 33 k V,Annealing test (For copperconductor/ wires),"Cl. 19.1 i (a), IS:7098 (Part-2) :2011, IS 10810 (Part 1)"
7,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages from 3.3k V to 33 k V,Bending Test,"Cl. 19.1 ix, Cl 20.3, IS:7098(Part-2) : 2011, IS 10810 (Part 50)"
8,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages from 3.3k V to 33 k V,Cold Impact Test,"Cl. 19.4, IS:7098 (Part-2) :2011, IS 10810 (Part 21)"
9,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages from 3.3k V to 33 k V,Conductor Resistance,"cl. 19.1 i (d), Cl. 19.2 a & Cl.19.3 a, IS:7098 (Part-2) : 2011,IS 10810 (Part 5)"
10,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages from 3.3k V to 33 k V,Dielectric Power Factor Test asa function of temperature &Voltage,"Cl. 19.1 x (a&b), Cl. 20.4, IS7098 (Part -2) : 2011, IS 10810(Part 48)"
11,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for working voltages from 3.3k V to 33 k V,Dimension for armouringmaterial,"Cl. 19.1 ii, Cl 8, & Table - 6,IS:7098 (Part-2) : 2011, IS10810 (Part 36)"
