0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,BIOLOGICAL-BIOCIDES,"Disinfectants, Sanitizers",Antimicrobial activityusing time-kill procedure,ASTM E2315
3,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Paints & coating surfaces,Antimicrobial activity ofpaints,ASTM D2574
4,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Pipeline surfaces -Microbial Induced Corrosiontests (MIC),APB-Acid Producingbacteria,BART-APB
5,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Pipeline surfaces -Microbial Induced Corrosiontests (MIC),APB-Acid Producingbacteria,NACE TM0212(&TM0194:2014)
6,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Pipeline surfaces -Microbial Induced Corrosiontests (MIC),HAB: Heterotrophicaerobic bacteria,BART-HAB
7,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Pipeline surfaces -Microbial Induced Corrosiontests (MIC),HAB: Heterotrophicaerobic bacteria,NACE TM0212(&TM0194:2014)
8,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Pipeline surfaces -Microbial Induced Corrosiontests (MIC),IRB-Iron related bacteria,BART-IRB
9,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Pipeline surfaces -Microbial Induced Corrosiontests (MIC),IRB-Iron related bacteria,NACE TM0212(&TM0194:2014)
10,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Pipeline surfaces -Microbial Induced Corrosiontests (MIC),SLYM-Slime formingbacteria,BART-SLYM
11,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Pipeline surfaces -Microbial Induced Corrosiontests (MIC),SRB-Sulphate reducingbacteria,BART-SRB
12,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Pipeline surfaces -Microbial Induced Corrosiontests (MIC),SRB-Sulphate reducingbacteria,NACE TM0212(&TM0194:2014)
13,BIOLOGICAL-BIOLOGICAL TESTSON OTHERMISCELLANEOUSTEST ITEMS,Plastics and other non-porous surfaces ofproducts,Antibacterial activity byusing Escherichia coli &Staphylococcus aureus,ISO 22196
20,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Air,Aerobic Bacterial count by Agar plate exposure,"SOP MB-62, Rev 00, Issuedate. 22.09.2018"
21,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Air,Coliforms,"SOP MB-62, Rev 00, Issuedate. 22.09.2018"
22,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Air,Enterobacteriaceae,"SOP MB-62, Rev 00, Issuedate. 22.09.2018"
23,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Air,Yeast and Mould count by Agar plate exposure,"SOP MB-62, Rev 00, Issuedate. 22.09.2018"
