0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Tensile strength (for aluminiumconductor),"IS 10810 (Part 2), Clause 10.1.a.1 of IS 14255"
2,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Tensile strength on Insulation,"IS 10810 (Part 7), Clause 10.1.c.2 of IS 14255"
3,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Thickness of insulation,"IS 10810 (Part 6), Clause 10.1.e of IS 14255"
4,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Breaking load on Messenger Conductor,"IS 10810 (Part 2), Clause 6.5.cof IS 14255"
5,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Conductor Resistance,"IS 10810 (Part 5), Clause 10.1.a 3 of IS 14255"
6,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Elongation at break on Insulation,"IS 10810 (Part 7), Clause 5.1.2of IS 14255"
7,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,High Voltage test at roomtemperature,IS 10810 (Part 45). Clause 10.1.g of IS 14255
8,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Hot Set Test,"IS 10810 (Part 30) , Clause 10.1.c.3 of IS 14255"
9,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Insulation Resistance (Volume Resistivity),"IS 10810 (Part 43), Clause 10.1.d.f of IS 14255"
10,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables for working voltages up to andincluding 1100 V,Shrinkage Test,"IS 10810 (Part 12), Clause 10.1.c.iv of IS 14255"
11,ELECTRICAL- CABLES &WIRES,Aluminium 1350 H19 Wire for Electrical Purposes,Diameter,ASTM B 230/230 M-07
12,ELECTRICAL- CABLES &WIRES,Aluminium 1350 H19 Wire for Electrical Purposes,Resistivity Test,ASTM B 230/230 M-07
13,ELECTRICAL- CABLES &WIRES,Aluminium 1350 H19 Wire for Electrical Purposes,Tensile Strength,ASTM B 230/230 M-07
14,ELECTRICAL- CABLES &WIRES,Aluminium 1350 H19 Wire for Electrical Purposes,Tensile Strength,ASTM B 230/230 M-07
15,ELECTRICAL- CABLES &WIRES,Aluminium 1350 H19 Wire for Electrical Purposes,Wrapping Test,ASTM B 230/230 M-07
16,ELECTRICAL- CABLES &WIRES,Aluminium alloy stranded conductors (aluminium-magnesium-silicon type),Approx. Overall Diameter,Table 2 of IS 398 (Part 4)
17,ELECTRICAL- CABLES &WIRES,Aluminium alloy stranded conductors (aluminium-magnesium-silicon type),Breaking Load Test,Clause 12.2 of IS 398 (Part 4)
18,ELECTRICAL- CABLES &WIRES,Aluminium alloy stranded conductors (aluminium-magnesium-silicon type),Diameter Test,Clause 3.1.2 of IS 398 (Part 4)
