0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- ADHESIVES,Adhesives,Apparent Shear Strength -Single Lap Joint,ASTM D1002
2,CHEMICAL- ADHESIVES,Adhesives,Breakaway Torque,ASTM D5649
3,CHEMICAL- ADHESIVES,Adhesives,Breakaway Torque,ISO 10964
4,CHEMICAL- ADHESIVES,Adhesives,Breakloose Torque,ISO 10964
5,CHEMICAL- ADHESIVES,Adhesives,Consistency,IS 13055 (Section 8)
6,CHEMICAL- ADHESIVES,Adhesives,Corrosion Resistance,IS 3055 (Section 10)
7,CHEMICAL- ADHESIVES,Adhesives,Density,ASTM D1475
8,CHEMICAL- ADHESIVES,Adhesives,Handling Cure,IS 13055 (Section 13)
9,CHEMICAL- ADHESIVES,Adhesives,Lap Shear Strength,ASTM D3165
10,CHEMICAL- ADHESIVES,Adhesives,Lap Shear Strength,ISO 4587
11,CHEMICAL- ADHESIVES,Adhesives,Locking Torque (Breakaway &Prevailing Torque),IS 13055 (Section 11.1)
12,CHEMICAL- ADHESIVES,Adhesives,Locking Torque after heating(Breakaway & Prevailing Torque),IS 13055 (Section 11.4)
13,CHEMICAL- ADHESIVES,Adhesives,Locking Torque after Immersion in Chemicals /Chemical Resistance(Breakaway & Prevailing Torque),IS 13055 (Section 11.2)
14,CHEMICAL- ADHESIVES,Adhesives,Locking Torque at Elevated Temperature/ Hot Strength(Breakaway & Prevailing Torque),IS 13055 (Section 11.3)
15,CHEMICAL- ADHESIVES,Adhesives,Locking Torque at Low Temperature (Breakaway &Prevailing Torque),IS 13055 (Section 11.5)
16,CHEMICAL- ADHESIVES,Adhesives,Peel or Stripping Strength (180deg),ASTM D903
17,CHEMICAL- ADHESIVES,Adhesives,Peel Resistance (90 deg),ASTM D6862
18,CHEMICAL- ADHESIVES,Adhesives,Peel Resistance (T-Peel Test),ASTM D1876
19,CHEMICAL- ADHESIVES,Adhesives,Prevailing Torque,ASTM D5649
20,CHEMICAL- ADHESIVES,Adhesives,Prevailing Torque,ISO 10964
21,CHEMICAL- ADHESIVES,Adhesives,Shear Strength - Pin and Collar Specimen,ASTM D4562
22,CHEMICAL- ADHESIVES,Adhesives,Shear Strength - Pin and Collar Specimen,ISO 10123
23,CHEMICAL- ADHESIVES,Adhesives,Static Shear Strength afterageing (Pin and Collar),IS 13055 (Section 14.4)
24,CHEMICAL- ADHESIVES,Adhesives,Static Shear Strength after Immersion in Chemicals /Chemical Resistance (Pin and Collar),IS 13055 (Section 14.2)
25,CHEMICAL- ADHESIVES,Adhesives,Static Shear Strength at Elevated Temperature / Hot Strength (Pin and Collar),IS 13055 (Section 14.3)
26,CHEMICAL- ADHESIVES,Adhesives,Static Shear Strength at Low Temperature (Pin and Collar),IS 13055 (Section 14.5)
27,CHEMICAL- ADHESIVES,Adhesives,Static Shear Strength at Standard Atmospheric Condition (Pin and Collar),IS 13055 (Section 14.1)
28,CHEMICAL- ADHESIVES,Adhesives,Tensile Strength,ASTM D897
29,CHEMICAL- ADHESIVES,Adhesives,Viscosity,ASTM D1084 (Method B)
30,CHEMICAL- ADHESIVES,Adhesives,Viscosity,IS 13055 (Section 7)
