0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL-MISCELLANEOUS,Automotive Door Latch Assembly,Functional Test under Over Voltage,"ES_0000087694 /6.6.10,ES_000083348 / 6.5.4,ES_000072400 /6.5.5,ES_000063306/6.6.10, ES_000078483 / 6.6.10,ES_000105150/6.5.2,ES_000113669/6.5.23"
2,ELECTRICAL-MISCELLANEOUS,Automotive Door Latch Assembly,Insulation Resistance,"ES_0000087694/6.6.8,ES000063306/6.7.8,ES000072400/6.5.8,ES000083348/3.4.8,ES000045289/6.5.5,ES_000105150/6.5.8,ES_000113669/6.5.18"
3,ELECTRICAL-MISCELLANEOUS,Automotive Door Latch Assembly,Jump Start and Reverse Polarity Test,"ES_0000087694 /6.6.5,ES_000072400/6.5.14,ES_000083348/6.5.4,ES_000063306/6.7.5,ES_000105150/6.5.6&3"
4,ELECTRICAL-MISCELLANEOUS,Automotive Door Latch Assembly,Voltage Drop Test,ES 91500-00 E/5.2.12
5,ELECTRICAL-MISCELLANEOUS,"Electrical Actuators of Automotive Door Latch Assembly,Window Regulator and Mirrors",Actuator Timing Test,"ES_000045289/6..5.1,ES_000083348/6.5.1 ,ES_000072400/6.5.15,ES_000087694/6.3.3,ES_000063306/6.3.3,ES_000105150/6.5.1,ES_000113669/6.2.4"
6,ELECTRICAL-MISCELLANEOUS,"Electrical Actuators of Automotive Door Latch Assembly,Window Regulator and Mirrors",Stall Current Test,"ES_000045289/6..5.1,ES_000083348/6.5.1 ,ES_000072400/6.5.15,ES_000087694/6.3.3,ES_000063306/6.3.3,ES_000105150/6.5.1,ES_000113669/6.2.4"
7,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Mirrors,Pull Test,PF 8701
8,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Door Latch Cable Assembly,Cables Eciency Test,"ES_000083530/2.3,ES_00008900/3.5,ES_000027411/2.3,ES000113552/3.3"
9,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Door Latch Cable Assembly,Compressive Breaking Load Test,ES 000083530/2.20
10,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Door Latch Cable Assembly,Displacement Measurement Test,"ES-000027411/2.1, ES-000083530/2.1, ES-000089002/3.1, ES000113552/3.1"
11,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Door Latch Cable Assembly,Elongation Test,"ES-000027411/2.1, ES-000083530/2.1"
12,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Door Latch Cable Assembly,Visual inspection Test,ES 000083530/2.1
13,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Door Latch Cables and Latches,Proof Torque Test,ES 000089002/3.10
14,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive Door Latch Cables, Latches and Striker",Exposure Test at Temperatureand Humidity,"ES0000087694 / 6.4.7,ES000083348/6.3.3,ES000063306 /6.5.6,E.S.000105150/6.3.9,ES000113669/6.3.17"
15,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive Door Latch Cables, Latches and Striker",High Temperature Exposure Test,"ES0000087694 /6.4.3,ES000072400/6.3.4,ES000045289 /6.3.2,ES000113669/6.3.10"
16,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive Door Latch Cables, Latches and Striker",Low Temperature Exposure Test,"ES0000087694 /6.4.7,ES000083348 /6.3.3,ES000063306 /6.5.6,ES000105150/6.3.9,ES000113669/6.3.11"
17,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive Door Latch Cables, Latches and Striker",Tensile Breaking Load Test,"ES000045289/6.4.1,ES000072400/6.4.1,ES000083348/6.4.1,ES000087694/6.5.3,ES000063306/6.6.3,ES000105150/6.4.1,ES000113669/6.4.1"
18,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive Door Latch Cables, Latches, Window Regulator,Electric Actuators and Mirrors",Noise (Sound Level)Measurement Test,"PF-8701/5.3.1,ES000045289 /6.6.2, ES 000087694/ 6.7.2,ES000063306/6.7.3,ES000083348/6.6.7"
19,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Latch Cables Assembly,Life Cycle Durability Test,"ES000083530/2.3,ES00008900/3.5,ES000027411/2.3,ES000113552/3.5"
20,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive Latch Cables, Latches, Bushings, Connectorsand End Fittings",Insertion and Extraction Force Measurement,"ES0000087694/ 6.5.7,ES000072400/6.4.9,ES000045289/6.4.2,ES000063306/6.6.7,ES000105150/6.4.8 ES000113669/6.4.14"
21,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Liftgate Door Latch Assembly,Life Cycle Durability Test,ES 81210-04 E/5-3
22,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Rear View Mirror,Functional Audit Test,PF 8701
23,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Rear View Mirror Assembly,Life Cycle Durability Test,PF 8701/7.1
24,MECHANICAL-AUTOMOTIVECOMPONENTS,Automotive Side Door Latch Assembly,Life Cycle Durability Test,"ES000083348 /6.3.9,ES000072400 /6.3.1,ES000045289/6.3.4,ES000105150/6.3."
25,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive Side Door Latches, Lift Gate Latches, Tailgate Latches",Functional Audit Test,"ES_000045289 / 6.2.2,ES_000083348 / 6.2.2,ES000072400 / 6.2.2,ES_000105150/6.2.2"
26,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive Side Door Latches, Lift Gate Latches, Tailgate Latches",Operating Eort - Load Test,"ES000045289 /6.2.2,ES000083348 /6.2.2,ES000072400 /6.2.2,ES000105150/6.2.2,ES000113669/6.2.2"
27,MECHANICAL-AUTOMOTIVECOMPONENTS,"Automotive Side Door Latches, Lift Gate Latches, Tailgate Latches",Operating Travel Test,"ES000045289 /6.2.2,ES000083348 /6.2.2,ES000072400 /6.2.2,ES000105150/6.2.2,ES000113669/6.2.2"
28,MECHANICAL-MECHANICAL PROPERTIESOF METALS,Steel Products,Rockwell Hardness Test,IS 1586 (Part 1)
