0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Mobile Testing,,,,
1,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline silicon Photo-Voltaic (PV) Module,Maximum Power Determination,IEC 61215-1-1
2,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline Silicon Photo-Voltaic (PV) Module,Maximum Power Determination,IS 14286:Part 2
3,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline Silicon Photo-Voltaic (PV) Module,Performance Measurement at Low Irradiation,IS 14286:Part 2
4,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline Silicon Photo-Voltaic (PV) Module,Visual Inspection,IEC 61215-1-1
5,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline Silicon Photo-Voltaic (PV) Module,Visual Inspection,IS 14286:Part 1
6,ELECTRONICS-MISCELLANEOUSPRODUCTS,Photo-Voltaic (PV) Module,Measurement of current-voltage characteristics ofbifacial Photo-Voltaic (PV)device,IEC TS 60904-1-2
7,ELECTRONICS-MISCELLANEOUSPRODUCTS,Photo-Voltaic (PV) Module,Measurement of Photovoltaiccurrent and voltagecharacteristics,IEC 60904-1
8,ELECTRONICS-MISCELLANEOUSPRODUCTS,Photo-Voltaic (PV) Module,Measurement of Photovoltaic Current and Voltage Characteristics,IS 12762 (Part 1/Sec 2)
9,ELECTRONICS-MISCELLANEOUSPRODUCTS,PV Module,Electroluminescence (EL) Testof Photo-Voltaic Module,IEC TS 60904-13
10,ELECTRONICS-MISCELLANEOUSPRODUCTS,PV Module,Performance Measurement at Low Irradiation,IEC 61215-1-1
11,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV Module,Maximum Power Determination-Procedures for Temperature & Irradiancecorrection,IEC 60891
12,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV Module,Measurement of Temperature Coecient,IEC 61215-1-1
13,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV Module,Measurement of Temperature Coecient,IS 14286:Part 2
14,ELECTRONICS-MISCELLANEOUSPRODUCTS,Thin-Film Photo-Voltaic (PV) Module,Maximum Power Determination,IEC 61215-2
15,ELECTRONICS-MISCELLANEOUSPRODUCTS,Thin-Film Photo-Voltaic (PV) Module,Maximum Power Determination,IS 14286: Part 2
16,ELECTRONICS-MISCELLANEOUSPRODUCTS,Thin-lm Photo-Voltaic (PV) Module,Visual Inspection,IEC 61215-1-1
17,ELECTRONICS-MISCELLANEOUSPRODUCTS,Thin-lm Photo-Voltaic (PV) Module,Visual Inspection,IEC 61215-1-2
18,ELECTRONICS-MISCELLANEOUSPRODUCTS,Thin-lm Photo-Voltaic (PV) Module,Visual Inspection,IS 14286:Part 1
Site Testing,,,,
1,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline Silicon Photo-Voltaic (PV) Module,Performance Measurement at Low Irradiation,IS 14286:Part 2
2,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline Silicon Photo-Voltaic (PV) Module,Visual Inspection,IEC 61215-1-1
3,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline Silicon Photo-Voltaic (PV) Module,Visual Inspection,IS 14286:Part 1
4,ELECTRONICS-MISCELLANEOUSPRODUCTS,PV Module,Electroluminescence (EL) Testof Photo-Voltaic Module,IEC TS 60904-13
5,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV Module,Maximum Power Determination-Procedures for Temperature & Irradiancecorrection,IEC 60891
6,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV Module,Measurement of Photovoltaiccurrent and voltagecharacteristics in Natural Sunlight,IEC 60904-1
7,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV Module,Measurement of Temperature Coecient,IEC 61215-1-1
8,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV Module,Measurement of Temperature Coecient,IS 14286:Part 2
9,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV Module,Outdoor Infrared Thermography,IEC TS 62446-3
10,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV Plant Equipment,Outdoor Infrared Thermography,IEC TS 62446-3
11,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV String,String I-V curve measurement,IEC 62446-1
12,ELECTRONICS-MISCELLANEOUSPRODUCTS,Solar PV String,String I-V curve measurement,IS 16960 (Part 1)
13,ELECTRONICS-MISCELLANEOUSPRODUCTS,Thin-lm Photo-Voltaic (PV) Module,Visual Inspection,IEC 61215-1-1
14,ELECTRONICS-MISCELLANEOUSPRODUCTS,Thin-lm Photo-Voltaic (PV) Module,Visual Inspection,IEC 61215-1-2
15,ELECTRONICS-MISCELLANEOUSPRODUCTS,Thin-lm Photo-Voltaic (PV) Module,Visual Inspection,IS 14286:Part 1
