0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & elctronic Items,Thermal Stability,TL 909 cls. 4.9 (excluding Cl.4.27)
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Cold Test,IEC 60068-2-1
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Combined Temperature &Vibration Test,IEC 60068-2-64
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Combined Temperature &Vibration Test,ISO 16750-3
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Damp Heat Cycle (12 h+12h Cycle),IEC 60068-2-30
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Damp Heat Cycle (12h+12hcycle),IS 9000-5 Sec 1 & 2
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Damp Heat Test,IEC 60068-2-78
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Damp Heat Test,IS 9000-4
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Dry Heat Test,IEC 60068-2-2
10,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Dry Heat Test,IS 9000-3 Sec 1 to 5
11,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Dry Heat Test,JIS D5500
12,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Random Vibration Test,IEC 60068-2-64
13,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Rapid Change of temperature,IEC 60068-2-14-Na
14,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Rapid Change of Temperature,ISO 16750-4
15,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Resistance to Corrosion,ISO 9227
16,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & electronic Items,Resistance to Environmental Cycle,"PV 1200 , TL 207"
17,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Resonance Frequency Detection Test,JIS D1601
18,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Salt Mist,IS 9000-11
19,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Salt Mist Test,IEC 60068-2-11
20,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Sweep Vibration Endurance Test,JIS D1601 Clause 5.4
21,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Vibration Function Test,JIS D1601 Clause 5.2
22,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Vibration Function Test,SAE J575 Clause 4.2.2
23,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Water Spray Proof Test,IEC 60529 Clause 14.2.4.a
24,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Water Spray Proof Test,IS 9000 (Part 16)
25,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items,Water Spray Proof Test,JIS D5500
26,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items & Metal Parts,Resistance to Corrosion,ASTM B117
27,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items & Metal Parts,Resistance to Corrosion,JIS D5500
28,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronic items & Metal Parts,Resistance to Corrosion,JIS H8502
29,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical & Electronic items, Metallized Parts",Condensed Water Test,DIN EN ISO 6270-2
30,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & Electronics Items,Forced Air Aging Without Load& With Load,TL 956 Cls. 7.6 & 7.7
31,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Electrical & electronics items,Testing the Leak tightnessagainst spray Water,PV 3501
32,PHOTOMETRY- LIGHTSOURCES (ELECTRICLAMP),Head Lamp & Rear Lamp,"Color Measurement For x-Co-ordinates , y-Co-ordinates",ECE R48
33,PHOTOMETRY- LIGHTSOURCES (ELECTRICLAMP),Head Lamp & Rear Lamp,"Color measurement For x-Co-ordinates , y-Co-ordinates",AIS010 part 5 Rev .1
34,PHOTOMETRY- LIGHTSOURCES (ELECTRICLAMP),"Lighting Devices Head Lamp , High Beam , Low beam ,Cornering , Front Fog",Luminous Intensitymeasurement test,"ECE 149,"
35,PHOTOMETRY- LIGHTSOURCES (ELECTRICLAMP),"Lighting Devices Headlamp , Low Beam, High Beam,",Luminous Intensitymeasurement test,"AIS 010 (part 1,4) Rev 1"
36,PHOTOMETRY- LIGHTSOURCES (ELECTRICLAMP),"Lighting Devices- DRL, Direction indicator , Front & Rear Fog, Cornering, Stop, Position, Reverse",Luminous Intensitymeasurement test,"AIS012 ( Part 1,2,3,5,6,7,10)"
37,PHOTOMETRY- LIGHTSOURCES (ELECTRICLAMP),"Stop, Position, Reversing, Rear fog Lamp, Rear & front Direction indicator , DRL",Luminous Intensitymeasurement test,ECE 148
