0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Electrically propelled road vehicles Dimensions anddesignation of secondary lithium-ion cells,Cylindrical cells,IS 16827 Cl. 7.2
2,ELECTRICAL- CELLS &BATTERIES,Electrically propelled road vehicles Dimensions anddesignation of secondary lithium-ion cells,Designation of cell,IS 16827 Cl. 5
3,ELECTRICAL- CELLS &BATTERIES,Electrically propelled road vehicles Dimensions anddesignation of secondary lithium-ion cells,Pouch cells,IS 16827 Cl. 7.4
4,ELECTRICAL- CELLS &BATTERIES,Electrically propelled road vehicles Dimensions anddesignation of secondary lithium-ion cells,Prismatic Cells,IS 16827 Cl. 7.3
5,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Abnormal Charging Test,UL 2054 Cl. No. 10
6,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Abusive Overcharge Test,UL 2054 Cl. No. 11
7,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,BATTERY ENCLOSURE TESTS,UL 2054 Cl. No. 18
8,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Crush,UL 2054 Cl. No. 14
9,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Drop Impact,UL 2054 Cl. No. 21
10,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Forced-Discharge Test,UL 2054 Cl. No. 12
11,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Heating,UL 2054 Cl. No. 23
12,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Impact,UL 2054 Cl. No. 15
13,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Limited Power Source Test,UL 2054 Cl. No. 13
14,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Mold Stress Relief Test,UL 2054 Cl. No. 20
15,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,N Steady Force Test,UL 2054 Cl. No. 19 250
16,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Shock,UL 2054 Cl. No. 16
17,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Short-Circuit,UL 2054 Cl. No. 9
18,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Temperature Cycling Test,UL 2054 Cl. No. 24
19,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Vibration,UL 2054 Cl. No. 17
20,ELECTRICAL- CELLS &BATTERIES,Lead-Acid Storage Batteries for Motor Vehicles with Light Weight and High Cranking Performance,Capacity (5 h Rate) Test,IS 14257 Cl. 9.3.4
21,ELECTRICAL- CELLS &BATTERIES,Lead-Acid Storage Batteries for Motor Vehicles with Light Weight and High Cranking Performance,Charge Acceptance Test,IS 14257 Cl. 9.3.8
22,ELECTRICAL- CELLS &BATTERIES,Lead-Acid Storage Batteries for Motor Vehicles with Light Weight and High Cranking Performance,High Rate Discharge Test,IS 14257 Cl. 9.3.5
23,ELECTRICAL- CELLS &BATTERIES,Lead-Acid Storage Batteries for Motor Vehicles with Light Weight and High Cranking Performance,Test for Dry-Charged Battery,IS 14257 Cl. 9.3.18
