0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,"Power Transformer up to 50 MVA, 132 k V",Induced Over Voltage Withstand,IEC 60076 (Part 3)(Cl.12.0)
2,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,"Power Transformer up to 50 MVA, 132 k V",Induced Over Voltage Withstand,IS 2026 (Part 3) (Cl.12.0)
3,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,"Power Transformer up to 50 MVA, 132 k V",Separate Source Voltage Withstand,IEC 60076 (Part 3)(Cl.11.0)
4,ELECTRICAL- HIGHVOLTAGE TESTFACILITY,"Power Transformer up to 50 MVA, 132 k V",Separate Source Voltage Withstand,IS 2026 (Part 3) (Cl.11.0)
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Magnetic Balance test onthree Phase transformer,CBIP Manual Publication 317 (Cl.3.17)
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Acoustic Noise Level,IEC 60076 (Part 10)
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Acoustic Noise Level,IS 2026 (Part 1)(Cl.10.1.3(f))
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Acoustic Noise Level,IS 2026 (Part 10)
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Capacitance & Tan Delta(Capacitance),IEC 60076 (Part 1)(Cl.10.1.3(i))
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Capacitance & Tan Delta(Capacitance),IS 2026 (Part 3)(Cl.10.1.3)
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Capacitance & Tan Delta(Tan Delta),IEC 60076 (Part 1)(Cl.10.1.3(i))
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Capacitance & Tan Delta(Tan Delta),IS 2026 (Part 3)(Cl.10.1.3)
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Excitation Current atthree phase,CBIP Manual Publication 317 (Cl.3.23)
14,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Harmonics of No Load Current,IEC 60076 (Part 1)(Cl.10.6)
15,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Harmonics of No Load Current,IS 2026 (Part 1) (Cl.10.6)
16,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Insulation Resistance,CBIP Manual Publication 295
17,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer up to 50 MVA, 132 k V",Measurement of Insulation Resistance,IEC 60076 (Part 1)(Cl.10.1.3)
