0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Static watt hour energy,Limits of Error,IS 13779 Cl. No. 11.11
2,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Static Watt hour meter,AC high voltage test,IS 13779 Cl 12.7.6.3
3,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Static Watt hour meter,Insulation Resistance,IS 13779 Cl. 12.7.6.4
4,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Static watt hour meter,Meter Constant,IS 13779 Cl.No. 12.15
5,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Static watt hour meter,No-Load condition,IS 13779 Cl. No.12.13
6,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Static watt hour meter,Power Consumption,IS 13779 Cl. No.12.7.1
7,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Static watt hour meter,Repeatability of Error,IS 13779 Cl. No.12.17
8,ELECTRICAL- ELECTRICALINDICATING & RECORDINGINSTRUMENTS,Static watt hour meter,Starting Condition,IS 13779 Cl. No.12.14
