0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Damp Heat Test (Steady State),ISO 16750-4 (Section 5.7)
2,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",High Temperature Test,MIL 810 H (Clause No.501.7)
3,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Low Temperature Test,MIL 810 H (Clause No.502.7)
4,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Cold Test,IEC 60068-2-1
5,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Cold Test,IEC 60571 (Clause No.12.2.4)
6,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Cold Test,ISO 16750-4 (Section 5.1.1)
7,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Damp Heat Cycle Test,ISO 16750-4 (Section 5.6)
8,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Damp Heat Test,IEC 60068-2-30
9,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Damp Heat Test,IEC 60068-2-78
10,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Damp Heat Test,IS 9000-4
11,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Dry Heat Test,IEC 60068-2-2
12,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Humidity Test,MIL 810 H (Clause No.507.6)
13,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Temperature Cycling/Change Temperature Test,IEC 60068-2-14
14,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Vibration test (Sine and Random),BS EN 60068-2-64
15,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Vibration Test (Sine and Random),IEC 60068-2-6
16,ELECTRICAL-ENVIRONMENTALTEST FACILITY,"Automotive, Electrical & Electronics Products",Vibration Test (Sine),JIS D1601
17,MECHANICAL-AUTOMOTIVECOMPONENTS,"Heat Exchangers, Pipes and Hoses",Pressure Cycle Test,ISO 10771-1
18,MECHANICAL-AUTOMOTIVECOMPONENTS,"Heat Exchangers, Pipes and Hoses",Pressure Cycle Test,SAE J1597
19,MECHANICAL- NOISE& VIBRATION,"Automotive, Mechanical Products",Noise Test,ISO 3745
