0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC CT Operated Watthour and VAR- hour Meters:(Accuracy Class : 0.5s) - 3 phase 4 wire Voltage Rating: 3x 240 V AC (p-n), Current Rating : 5 A-10 A, 0- Lag-Unity-Lead-0 (Active &Reactive Energy)",AC High Voltage Test,IS 14697 (Clause 12.7.6.3)
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC CT Operated Watthour and VAR- our Meters:(Accuracy Class : 0.5s) - 3 phase 4 wire Voltage Rating: 3x 240 V AC (p-n), Current Rating : 5 A-10 A, 0- Lag-Unity-Lead-0 (Active &Reactive Energy)",Test of Meter Constant,IS 14697 (Clause 12.14)
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC CT Operated Watthour and VAR- our Meters:(Accuracy Class : 0.5s) - 3 phase 4 wire Voltage Rating: 3x 240 V AC (p-n), Current Rating : 5 A-10 A, 0- Lag-Unity-Lead-0 (Active &Reactive Energy)",Test of Repeatability of Error,IS 14697 (Clause 12.16)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC CT Operated Watthour and VAR- our Meters:(Accuracy Class : 0.5s) - 3 phase 4 wire Voltage Rating: 3x 240 V AC (p-n), Current Rating : 5 A-10 A, 0- Lag-Unity-Lead-0 (Active &Reactive Energy)",Test on Limits of Error Due to Variation of Current,IS 14697 (Clause 11.1)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Watthour and VAR-Hour Meters,Insulation Test (500 V DC),IS 14697 (Clause 12.7.6.4)
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Watthour and VAR-Hour Meters,Test of No-load Condition,IS 14697 (Clause 12.12)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Watthour and VAR-Hour Meters,Test of Power Consumption (Currentcircuit -VA),"IS 14697 (Clause 9.1.1,12.7.1)"
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Watthour and VAR-Hour Meters,Test of Power Consumption (Voltagecircuit -VA),"IS 14697 (Clause 9.1.1,12.7.1)"
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Watthour and VAR-Hour Meters,Test of Power Consumption (Voltagecircuit -Watt),"IS 14697 (Clause 9.1.1,12.7.1)"
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Transformer Operated Watthour and VAR-Hour Meters,Test of Starting Condition(Duration between 2pulses in sec.),IS 14697 (Clause 12.13)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters: Single Phase & Three Phase,Test of No-load Condition,IS 13779 (Clause 12.13)
