0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATT HOUR AND VA-HOUR SMART METER (Classes - 0.2 S, 0.5 S & 1.0 S)",Limits of Error (Due to variationof the Current),IS: 16444: Part-2
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATT HOUR AND VA-HOUR SMART METER (Classes - 0.2 S, 0.5 S & 1.0 S)",No Load Test,IS: 16444: Part-2
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC STATIC TRANSFORMER OPERATED WATT HOUR AND VA-HOUR SMART METER (Classes - 0.2 S, 0.5 S & 1.0 S)",Starting Current,IS: 16444:Part-2
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC TRNSFORMER OPERATED WATT HOUR & VARHOUR METERS (Classes - 0.2s & 0.5s),No load Test,IS : 14697
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC TRNSFORMER OPERATED WATT HOUR & VARHOUR METERS (Classes - 0.2s & 0.5s),Starting Current,IS : 14697
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC TRNSFORMER OPERATED WATT HOUR & VARHOUR METERS (Classes - 0.2s & 0.5s),Limits of Error (Due to variationof the Current),IS : 14697
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT HOUR METER (Classes -1 & 2),Limits of Error (Due to variationof the Current),IS : 13779
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT HOUR METER (Classes -1 & 2),No load Test,IS : 13779
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT HOUR METER (Classes -1 & 2),Starting Current,IS : 13779
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT HOUR SMART METER (Classes - 1 & 2 ),Limits of Error (Due to variationof the Current),IS : 16444 Part-1
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT HOUR SMART METER (Classes - 1 & 2 ),No load Test,IS : 16444 Part-1
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC STATIC WATT HOUR SMART METER (Classes - 1 & 2),Starting Current,IS : 16444 Part-1
