0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,A.C. High Voltage test,"IS 16444 (Part 1, Clause No. 6.10.6)"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,Insulation Resistance test,"IS 16444 (Part 1, Clause No. 6.10.6)"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,Test of inuencequantities (frequencyvariation),"IS 16444 (Part 1, Clause No. 6.12)"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,Test of inuencequantities (voltagevariation),"IS 16444 (Part 1, Clause No. 6.12)"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,Test of meter constant,"IS 16444 (Part 1, Clause No. 6.12)"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,Test of no load condition,"IS 16444 (Part 1, Clause No. 6.12)"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,Test of powerconsumption,"IS 16444 (Part 1, Clause No. 6.10.1)"
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,Test of Repeatability of Error,"IS 16444 (Part 1, Clause No. 6.12)"
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,Test of starting condition,"IS 16444 (Part 1, Clause No. 6.12)"
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Direct Connected Watt Hour Smart Meter - Class 1,Test on limits of error,"IS 16444 (Part 1, Clause No. 6.12)"
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer Operated Watt Hour and VAR Hour Meter - Class 0.5 S and Class 0.2 S,Insulation Resistance Test,IS 14697 (Clause No.12.7.6.4)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer Operated Watt Hour and VAR Hour Meter - Class 0.5 S and Class 0.2 S,Test of Meter Constant,IS 14697 (Clause No.12.14)
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer Operated Watt Hour and VAR Hour Meter - Class 0.5 S and Class 0.2 S,Test of No Load Condition,IS 14697 (Clause No.12.12)
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer Operated Watt Hour and VAR Hour Meter - Class 0.5 S and Class 0.2 S,Test of Power Consumption Test,IS 14697 (Clause No.12.7.1)
