0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",AC Voltage Test,IS 14697
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",AC Voltage Test,IS 16444 (Part 2)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Initial Startup of the Meter,IS 14697
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Initial Startup of the Meter,IS 16444 (Part 2)
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Insulation Resistance,IS 14697
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Insulation Resistance,IS 16444 (Part 2)
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Limits of Error,IS 14697
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Limits of Error,IS 16444 (Part 2)
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",No Load Condition / Runningwith No Load,IS 14697
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",No Load Condition / Runningwith No Load,IS 16444 (Part 2)
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Test of Inuence Quantities:Frequency Variation,IS 14697
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Test of Inuence Quantities:Frequency Variation,IS 16444 (Part 2)
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Test of Inuence Quantities:Rev. Phase Sequence,IS 14697
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Test of Inuence Quantities:Rev. Phase Sequence,IS 16444 (Part 2)
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Test of Inuence Quantities:Voltage Unbalance,IS 16444 (Part 2)
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC ENERGY METER (Class 0.2s, 0.5s & 1.0s)",Test of Inuence Quantities:Voltage Unbalance,IS 14697
