0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- BUILDINGMATERIAL,Admixture,Ash Content,IS 9103
2,CHEMICAL- BUILDINGMATERIAL,Admixture,Chloride Ion Content,IS 6925
3,CHEMICAL- BUILDINGMATERIAL,Admixture,Dry Material Content,IS 9103
4,CHEMICAL- BUILDINGMATERIAL,Admixture,p H,IS 9103
5,CHEMICAL- BUILDINGMATERIAL,Admixture,Relative Density,IS 9103
6,CHEMICAL- BUILDINGMATERIAL,Aggregate,Chloride,BS EN 1744 - 5
7,CHEMICAL- BUILDINGMATERIAL,Aggregate,Sulphate as SO3,BS EN 1744 - 1
8,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Aluminium Oxide(Al 2 O3),ML/SPL/BM-CM:25/10/2019
9,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Calcium Oxide(Ca O),ASTMC114
10,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Chlorides,ASTMC114
11,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Ferric Oxide(Fe 2 O3),ML/SPL/BM-CM:25/10/2019
12,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Insoluble Residues,ASTMC114
13,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Loss on Ignition,ASTMC114
14,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Magnesium Oxide(Mg O),ML/SPL/BM-CM:25/10/2019
15,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Silicon Dioxide(Si O2),ASTMC114
16,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Sulphur Trioxide(SO3),ASTMC114
17,CHEMICAL- BUILDINGMATERIAL,Cement (OPC/SRPC/PSC),Titanium Dioxide(Ti O2),ML/SPL/BM-CM:25/10/2019
18,CHEMICAL- BUILDINGMATERIAL,Cement Mortar / Concrete,Chloride,BS 1881 - 124
19,CHEMICAL- BUILDINGMATERIAL,Cement Mortar / Concrete,Sulphate as SO3,BS 1881 - 124
20,CHEMICAL- BUILDINGMATERIAL,Fly Ash,Alumina,ML/SPL/BM-CM:25/10/2019
21,CHEMICAL- BUILDINGMATERIAL,Fly Ash,Chloride,ASTMC114
22,CHEMICAL- BUILDINGMATERIAL,Fly Ash,Fe 2 O3,ML/SPL/BM-CM:25/10/2019
23,CHEMICAL- BUILDINGMATERIAL,Fly Ash,K2 O,ML/SPL/BM-CM:25/10/2019
24,CHEMICAL- BUILDINGMATERIAL,Fly Ash,LOI,IS 1727
25,CHEMICAL- BUILDINGMATERIAL,Fly Ash,Mg O,ML/SPL/BM-CM:25/10/2019
26,CHEMICAL- BUILDINGMATERIAL,Fly Ash,Na 2 O,ML/SPL/BM-CM:25/10/2019
27,CHEMICAL- BUILDINGMATERIAL,Fly Ash,Silica,IS 1727
28,CHEMICAL- BUILDINGMATERIAL,Fly Ash,SO3,IS 1727
29,CHEMICAL- BUILDINGMATERIAL,Ground Granulated Blast-Furnace Slag,Alumina,ML/SPL/BM-CM:25/10/2019
