0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Bifacial photovoltaic (PV) devices,Measurement of current-voltage characteristics,IEC TS 60904-1-2: 2019
2,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Conduits of Junction Box in Solar Photovoltaic Module,Conduit Bending Test,IS/IEC 61730 (Part 2)[Clause No: 11.2 /MST33]: 2004
3,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Encapsulants material- PV module,Yellowness Index,IEC 62788-1-4 [ Cl no.8.3]: 2016
4,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Encapsulants used in Solar PV modules,Gel content measurement,IEC 62788-1-6 [Clause No.6]: 2017
5,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,"Bifacial modules-Voltage,current and powermeasurement",UL 1703 [Cl No. 18 B.2]:2019
6,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,Cut test,UL 1703 [Cl No. 24]: 2019
7,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,Dielectric voltage -withstand test,UL 1703 [Cl No. 26]: 2019
8,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,Fire test,UL 1703 [Cl No. 31]: 2019
9,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,Humidity test,UL 1703 [Cl No. 36]: 2019
10,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,Leakage current test,UL 1703 [Cl No. 21]: 2019
11,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,Reverse current overloadtest,UL 1703 [Cl No. 18 B.3]:2019
12,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,Reverse current overloadtest,UL 1703 [Cl No. 28]: 2019
13,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,Temperature cycling test,UL 1703 [Cl No. 35]: 2019
14,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,"Voltage, current andpower measurement",UL 1703 [Cl No. 20]: 2019
15,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Flate plate Photovoltaic modules and panels,Wet insulation -resistance test,UL 1703 [Cl No. 27]: 2019
