0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALLICCOATINGS &TREATMENTSOLUTIONS,Zinc Coated Iron and Steel,Uniformity of Coating,IS 2633
2,CHEMICAL- METALLICCOATINGS &TREATMENTSOLUTIONS,Zinc coated Items,Mass of Zinc coating,IS 6745
3,CHEMICAL- METALLICCOATINGS &TREATMENTSOLUTIONS,Zinc coated Items,Thickness of Zinc coating,ASTM E376
4,CHEMICAL- METALS &ALLOYS,Aluminium alloy and aluminium low alloy,Cr,ASTM E1251
5,CHEMICAL- METALS &ALLOYS,Aluminium alloy and aluminium low alloy,Cu,ASTM E1251
6,CHEMICAL- METALS &ALLOYS,Aluminium alloy and aluminium low alloy,Fe,ASTM E1251
7,CHEMICAL- METALS &ALLOYS,Aluminium alloy and aluminium low alloy,Mg,ASTM E1251
8,CHEMICAL- METALS &ALLOYS,Aluminium alloy and aluminium low alloy,Mn,ASTM E1251
9,CHEMICAL- METALS &ALLOYS,Aluminium alloy and aluminium low alloy,Si,ASTM E1251
10,CHEMICAL- METALS &ALLOYS,Aluminium alloy and aluminium low alloy,Ti,ASTM E1251
11,CHEMICAL- METALS &ALLOYS,Aluminium alloy and aluminium low alloy,Zn,ASTM E1251
12,CHEMICAL- METALS &ALLOYS,low alloy steel,B,IS 8811
13,CHEMICAL- METALS &ALLOYS,low alloy steel,C,IS 8811
14,CHEMICAL- METALS &ALLOYS,low alloy steel,Cr,IS 8811
15,CHEMICAL- METALS &ALLOYS,low alloy steel,Cu,IS 8811
16,CHEMICAL- METALS &ALLOYS,low alloy steel,Mn,IS 8811
17,CHEMICAL- METALS &ALLOYS,low alloy steel,P,IS 8811
18,CHEMICAL- METALS &ALLOYS,low alloy steel,S,IS 8811
19,CHEMICAL- METALS &ALLOYS,low alloy steel,Si,IS 8811
20,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Compression type mid span joint,Heating Cycle Test,IS : 2121 (Part II)
21,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"EARTH WIRE DEAD END CLAMP & MID SPAN JOINT, JUMPER JOINT",Electrical Resistance,IS 2121 (Part 3)
22,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,T Connector,Electrical Resistance,IS 2121 (Part 4)
23,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Al Repair Sleeve,DC Resistance,IEC 61284
24,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Dead end clamp,Heating Cycle Test,IS 2486 (Part 1)
25,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Dead end clamp for conductor,Electrical Resistance,IS 2486 (Part 1)
26,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,mid span for conductor,Electrical Resistance,IS 2486 (Part 1)
27,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Mid Span Joints and repair sleeve for conductor,Electrical Resistance,IS : 2121 (Part II)
28,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,PA Rod,DC Resistance,IS : 2121 (Part I)
