0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Crystalline (C-Si) Photovoltaic (PV) modules,Salt Mist Corrosion Test,IEC 61701
2,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Crystalline (C-Si) Photovoltaic (PV) modules,Salt Mist Corrosion Test,IEC 61701 (Withdrawn Standard)
3,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Bypass diode functionalitytest,IEC 61215-2 (Clause 4.18.2)
4,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Bypass diode functionalitytest,IEC 61215-2 (Clause 4.18.2) (Withdrawn Standard)
5,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Bypass diode functionalitytest,IEC 61730-2 (Clause 10.8)(Withdrawn Standard)
6,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Bypass diode thermal test,IEC 61730-2 (Clause 10.19) (Withdrawn Standard)
7,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Bypass diode thermal test,IEC 61215-2 (Clause 4.18.1)
8,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Bypass diode thermal test,IEC 61215-2 (Clause 4.18.1) (Withdrawn Standard)
9,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Cyclic (dynamic)mechanical load testing,IEC 61215-2 (Clause 4.20)
10,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Damp heat test,IEC 61215-2 (Clause 4.13)
11,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Damp heat test,IEC 61215-2 (Clause 4.13)(Withdrawn Standard)
12,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Damp heat test,IEC 61730-2 (Clause 10.30) (Withdrawn Standard)
13,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Electroluminescenceimaging,IEC TS 62804-1 (Clause 4.2f)
14,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Humidity freeze test,IEC 61215-2 (Clause 4.12)
15,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Humidity freeze test,EC 61215-2 (Clause 4.12)(Withdrawn Standard)
16,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Humidity freeze test,IEC 61730-2 (Clause 10.29) (Withdrawn Standard)
17,ELECTRONICS-MISCELLANEOUSPRODUCTS,Crystalline (C-Si) Photovoltaic (PV) modules,Insulation test,IEC 61215-2 (Clause 4.3)
