0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ROTATINGELECTRICAL MACHINES,AC/DC Standalone Solar Powered Agricultural Water Pumps(1 hp to 25 hp),Total Water Output per day for Performance Tests (a) Hot Prole Performance Test (b)Cold Prole Performance Test(c) Outdoor Performance Test,"MNRE Test Methods for SPVWater Pumping Systems(Clause No. II, F. No.42/25/2014-15/PVSE: 2014);(Clause No. II, F. No.41/06/2015-16-PVSE: 2015) &Annexure A (Clause No. 4, F.No. 41/3/2018 - SPV Division)Dated 22.03.2023"
2,ELECTRICAL- ROTATINGELECTRICAL MACHINES,AC/DC Standalone Solar Powered Agricultural Water Pumps(0.25 hp to 30 hp),Based on System Performance Diagrams: Q-P Diagrams and Total Water Output,"Cl.no. 5.3.2, 5.3.4 of IEC 62253"
3,ELECTRICAL- ROTATINGELECTRICAL MACHINES,AC/DC Standalone Solar Powered Agricultural Water Pumps(0.25 hp to 10 hp),Protection Test (a) Dry Run Test (b) Reverse Polarity Test(c) Open-circuit / No-load (d)Output Short-circuit,"MNRE Test Methods for SPVWater Pumping Systems,(Clause No. VI, F. No.42/25/2014-15/PVSE: 2014);(Clause No. VI, F. No.41/06/2015-16-PVSE: 2015) &(Clause No. 3.6.3, F. No.41/3/2018 - SPV Division))"
4,ELECTRICAL- ROTATINGELECTRICAL MACHINES,AC/DC Standalone Solar Powered Agricultural Water Pumps(0.25 hp to 30 hp),Based on System Performance Diagrams: H-Q Diagrams and Total Water Output,Cl.no. 5.3.3 of IEC 62253
5,ELECTRICAL- ROTATINGELECTRICAL MACHINES,AC/DC Standalone Solar Powered Agricultural Water Pumps(0.25 hp to 30 hp),Overall eciency- Designcheck of PV pumping system inrespect to daily water volume,Cl.no. 6.6 of IEC 62253
6,ELECTRICAL- ROTATINGELECTRICAL MACHINES,AC/DC Standalone Solar Powered Agricultural Water Pumps(0.25 hp to 30 hp),Total water output based on G-T system characteristics,Cl.no. 6.3 of IEC 62253
7,ELECTRICAL- ROTATINGELECTRICAL MACHINES,AC/DC Standalone Solar Powered Agricultural Water Pumps(0.25 hp to 30 hp),Total water output based on P-G system characteristics,Cl.no. 6.3 of IEC 62253
8,ELECTRICAL- ROTATINGELECTRICAL MACHINES,AC/DC Standalone Solar Powered Agricultural Water Pumps(1 hp to 25 hp),Per Day Water Flow Test for Submersible and Surface Pumps,"Cl. No. 8.1 & 8.2 of MNRE,Guidelines on Testing Procedure for solarphotovoltaic water pumpingsystems, Annexure B ofcircular no. F .No. 41/3/2018-SPV division dated 22.03.2023"
9,ELECTRICAL- ROTATINGELECTRICAL MACHINES,AC/DC Standalone Solar Powered Agricultural Water Pumps(1 hp to 25 hp),Protection Test (a) Dry Run Test (b) Reverse Polarity Test(c) Open circuit / No-load (d)Output Short-circuit,"Cl. No. 5.0 of MNRE, Guidelineson Testing Procedure for solarphotovoltaic water pumpingsystems, Annexure B ofcircular no. F .No. 41/3/2018-SPV division dated 22.03.2023"
