0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,Current-Carrying Capacityin Normal Service,IEC 60204-1 + A1 (Clause 12.4)
2,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,Functional Tests,IEC 60204-1 + A1 (Clause 18.6)
3,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,Insulation Resistance Tests,IEC 60204-1 + A1 (Clause 18.3)
4,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,"Marking, Warning Signsand Reference Designations",IEC 60204-1 + A1 (Clause 16)
5,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,Protection against Residual Voltages,IEC 60204-1 + A1 (Clause 18.5)
6,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,Protection Against Residual Voltages,IEC 60204-1 + A1 (Clause 6.2.4)
7,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,Protective Conductor Connecting Points,IEC 60204-1 + A1 (Clause 8.2.4)
8,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,Terminal for Connectionof the External Protective Conductor,IEC 60204-1 + A1 (Clause 5.2)
9,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,Test 1 - Verication of the Continuity of the Protective Bonding Circuit,IEC 60204-1 + A1 (Clause 18.2.2)
10,ELECTRICAL- SAFETYTESTING FACILITY,Electrical Equipment of Machines,Voltage Tests,IEC 60204-1 + A1 (Clause 18.4)
11,ELECTRONICS-MEDICAL ELECTRICALEQUIPMENT,Medical Beds,Classication of Applied Parts,"IEC 60601-2-52 + A1, IEC60601-1 + A1 + A2(Clause 8.3) (Clause 201.8)"
12,ELECTRONICS-MEDICAL ELECTRICALEQUIPMENT,Medical Beds,Components and Wiring,"IEC 60601-2-52 + A1, IEC60601-1 + A1 + A2(Clause 8.10) (Clause 201.8)"
13,ELECTRONICS-MEDICAL ELECTRICALEQUIPMENT,Medical Beds,Continuous Activation,IEC 60601-2-52 + A1(Clause 201.9.2.2.5)
14,ELECTRONICS-MEDICAL ELECTRICALEQUIPMENT,Medical Beds,Creepage Distances and Air Clearances,"IEC 60601-2-52 + A1, IEC60601-1 + A1 + A2(Clause 8.9 except Clause 8.9.1.16 & 8.9.3) (Clause 201.8)"
15,ELECTRONICS-MEDICAL ELECTRICALEQUIPMENT,Medical Beds,Determination of Applied Parts and Accessible Parts,"IEC 60601-2-52 + A1, IEC60601-1 + A1 + A2(Clause 5.9) (Clause 201.5)"
16,ELECTRONICS-MEDICAL ELECTRICALEQUIPMENT,Medical Beds,Dielectric Strength,"IEC 60601-2-52 + A1, IEC60601-1 + A1 + A2(Clause 8.8.3) (Clause 201.8)"
17,ELECTRONICS-MEDICAL ELECTRICALEQUIPMENT,Medical Beds,Excessive Temperaturesin ME Equipment,"IEC 60601-2-52 + A1, IEC60601-1 + A1 + A2(Clause 11.1) (Clause 201.11)"
