0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Automobile Products, Moulds and dies, defense products,electronic products",Cold test,IS 9000-2 sec 1-4
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Defense & Electronic Products,Cold Test,JSS 55555
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Defense & Electronic Products,Damp Heat Test,JSS 55555
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Defense & Electronic Products,Dust,JSS 55555
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Defense & electronic Products,Sinusoidal,JSS 55555
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Defense & Electronic Products,Water,JSS 55555
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Defense products & Electronic products,Cold Test,IEC 60068-2-14
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Defense products & electronic products,Cold Test,IS 9000-2 Sec 1-4
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Defense, Electronic Products",Random Vibration,JSS 55555
10,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Defense, Railway & Electronic Products",Classical Shock,IEC 60571
11,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Electrical & Electronic devices, Switch gear Products,defense, Railway Products",Classical Shock,JSS 55555
12,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Molds and dies,Defense Products, Electronic products",Rain Test,IS 9000 Part 16
13,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Molds and dies,Defense Products, Electronic products",Water Immersion Test,IS 9000 Part 15
14,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Molds and dies,Defense Products, Electronic products",Shock Response,IEC 60255-21-2
15,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Molds and dies,Defense Products, Electronic products",Shock Withstand,IEC 60255-21-2
16,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Molds and dies,Defense Products, Electronic products",Vibration Endurance,IEC 60255-21-1
17,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Molds and dies,Defense Products, Electronic products",Vibration Response,IEC 60255-21-1
18,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Molds and dies,Defense Products, Electronic products",Vibration Test,IEC 60721-3-2
19,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Molds and Dies",Cold Test,IEC 60068-2-1
20,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies, Defense Products, Electronic products",Classic Shock test,IEC: 60068-2-27
21,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Dry heat test,IS 9000-3
22,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Compositetemperature/humidity cyclictest,IEC 60068-2-38
23,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Damp heat (Cyclic 12 +12 )test,IEC 60068-2-30
24,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Damp heat (cyclic) test,IS 9000-5
25,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Damp heat (steady state) test,IEC 60068-2-78
26,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Damp heat (Steady state) test,IS 9000-4
27,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Dry heat test,IEC 60068-2-2
28,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Dust test,IEC: 60529
29,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Protection against penetrationof Dust,IS 9000 -12
30,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Vibration (Ramdom) test,IEC 60068-2-64
31,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Vibration (sinusoidal) test,IEC 60068-2-6
32,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Vibration test (sinusoidal),IS 9000-8
33,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,"Switch gear Products, Automobile Products, Moulds anddies.",Water ingress,IEC:60529
34,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bus Duct,Dry power frequency voltagewithstand test,"IEC: 61439-1,2,3,6"
35,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bus Duct,Temperature rise test,IEC:61439-1-2-3-6
36,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Dry power frequency voltagewithstand test,IEC:60137
37,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Dry power frequency voltagewithstand test,IEC:60060-1
38,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Dry power frequency voltagewithstand test,IEC:60060-2
39,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Dry power frequency voltagewithstand test,IEC:60060-3
40,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning Impulse voltage test,IEC 60060-1
41,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning Impulse voltage test,IEC 60060-1
42,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning Impulse voltage test,IEC 60060-2
43,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning Impulse voltage test,IEC 60060-2
44,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning Impulse voltage test,IEC 60060-2
45,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning Impulse voltage test,IEC 60060-3
46,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning Impulse voltage test,IEC 60060-3
47,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning Impulse voltage test,IEC 60060-3
48,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning impulse voltagewithstand test,IEC 60060-1
49,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning impulse voltagewithstand test,IEC:60137
50,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Lightning impulse voltagewithstand test,IEC:60137
51,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Partial discharge test,IEC:60060-1
52,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Partial discharge test,IEC:60060-2
53,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Partial discharge test,IEC:60060-3
54,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Partial discharge test,IEC:60137
55,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Temperature rise test,IEC:60060-1
56,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Temperature rise test,IEC:60060-2
57,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Temperature rise test,IEC:60060-3
58,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushing,Temperature rise test,IEC:60137
59,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings,Lightning impulse voltagewithstand test,IEC:60137
60,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Circuit Breaker,Time & speed characteristics of Circuit Breaker,"IEC:62271-100, 200"
61,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Dry power frequency voltagewithstand test,IEC:62271-1
62,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Dry power frequency voltagewithstand test,IEC:62271-100
63,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Endurance test,IEC:62271-1
64,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Endurance test,IEC:62271-100
65,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Lightning impulse voltagewithstand test,IEC: 62271-1
66,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Lightning impulse voltagewithstand test,IEC:62271-1
67,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Lightning impulse voltagewithstand test,IEC:62271-1
68,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Lightning impulse voltagewithstand test,IEC:62271-100
69,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Lightning impulse voltagewithstand test,IEC:62271-100
70,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Lightning impulse voltagewithstand test,IEC:62271-100
71,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Temperature rise test,IEC:62271-1
72,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Circuit Breakers, Vacuum contactor, Vacuum Interrupter",Temperature rise test,IEC:62271-100
73,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Control Panel,Functional Test,IEC:62271-200
74,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Current Transformer 5 A to 3200 A//1 A-5 A, Accuracy class 0.005",Over voltage Inter-turn Test,IS 16227- 2
75,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Current Transformer 5 A to 3200 A//1 A-5 A, Accuracy class 0.005",Verication of Terminal Marking,IEC 61869-2
76,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Current Transformer 5 A to 3200 A//1 A-5 A, Accuracy class 0.005",Verication of Terminal Marking,IS 16227-1&2
77,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Composite error measurement,IEC:61869-2
78,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Composite error measurement,IS: 16227-2
79,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Dry power frequency voltagewithstand test on primarywinding,IEC:61869-1&2
80,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Dry power frequency voltagewithstand test on primarywinding,IS:16227-1&2
81,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Dry power frequency voltagewithstand test on secondarywinding,IEC:61869-1&2
82,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Dry power frequency voltagewithstand test on secondarywinding,IS:16227-1&2
83,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Instrument security factor,IEC:61869-2
84,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Lightning impulse voltagewithstand test,IEC:61869-1&2
85,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Lightning impulse voltagewithstand test,IS:16227-1&2
86,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Measurement of knee pointvoltage,IEC:61869-2
87,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Measurement of knee pointvoltage,IS:16227-2
88,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Power frequency voltagewithstand test between section,IEC:61869-1&2
89,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Power frequency voltagewithstand test between section,IS:16227-1&2
90,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Test for accuracy,IEC: 61869-1&2
91,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Test for accuracy,IEC:61869-1 & 2
92,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Test for accuracy,IS:16227-1&2
93,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Test for accuracy,IS:16227-1&2
94,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformer 5 A-3200 A//1 A-5 A Accuracy class 0.005,Instrument security factor,IS:16227-2
