0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Abnormal operation,"IS 302-2-6 : 2009, Clause 19"
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Classication- Inspection &verication of Class w.r.tprotection against electricshock,"IS 302-2-6 : 2009, clause 6"
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens","Clearances, Creepagedistances and Solid Insulation","IS 302-2-6 : 2009, Clause 29"
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Components- Verication testfor operation and safety,"IS 302-2-6 : 2009, Clause 24"
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Construction,"IS 302-2-6 : 2009, Clause 22"
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Internal wiring,"IS 302-2-6 : 2009, Clause 23"
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Leakage current and Electricstrength,"IS 302-2-6 : 2009, Clause 16"
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Leakage current and Electricstrength at operatingtemperature,"IS 302-2-6 : 2009, Clause 13"
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Marking and instructions-Durability Test,"IS 302-2-6 : 2009, Clause 7"
10,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Mechanical Strength,"IS 302-2-6 : 2009, Clause 21"
11,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Moisture Resistance,"IS 302-2-6 : 2009, Clause 15"
12,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Power Input and Current,"IS 302-2-6 : 2009, Clause 10"
13,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Protection against access tolive parts,"IS 302-2-6 : 2009, Clause 8"
14,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Provision for Earthing,"IS 302-2-6 : 2009, Clause 27"
15,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens","Radiation, toxicity and similarhazards","IS 302-2-6 : 2009, Clause 32"
16,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Resistance to heat and re,"IS 302-2-6 : 2009, Clause 30"
17,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Resistance to rusting,"IS 302-2-6 : 2009, Clause 31"
18,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,"Cooking Ranges, Hobs, Ovens",Screws and connections,"IS 302-2-6 : 2009, Clause 28"
