0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,250 N Steady Force,"UL 2054,Sec 19, Thirdedition"
2,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Abnormal Charging,"UL 2054,Sec 10, Thirdedition"
3,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Battery Pack Component,"UL 2054,Sec 13 A, Thirdedition"
4,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Battery Pack Surface Temperature,"UL 2054,Sec 13 B, Thirdedition"
5,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Crush,"UL 2054,Sec 14, Thirdedition"
6,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Drop Impact,"UL 2054,Sec 21, Thirdedition"
7,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Heating,"UL 2054,Sec 23, Thirdedition"
8,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Impact,"UL 2054,Sec 15, Thirdedition"
9,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Limited Power Source,"UL 2054,Sec 13, Thirdedition"
10,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Mold Stress Relief,"UL 2054,Sec 20, Thirdedition"
11,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Shock,"UL 2054,Sec 16, Thirdedition"
12,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Temperature Cycling,"UL 2054,Sec 24, Thirdedition"
13,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Vibration,"UL 2054,Sec 17, Thirdedition"
14,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Short-Circuit Test,"UL 2054,Sec 9, Thirdedition"
15,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Abusive Overcharge,"UL 2054,Sec 11, Thirdedition"
16,ELECTRICAL- CELLS &BATTERIES,Household and Commercial Batteries,Forced discharge,"UL 2054,Sec 12, Thirdedition"
17,ELECTRICAL- CELLS &BATTERIES,Lithium Batteries,Short-Circuit Test,"UL 1642, 6th Edition Sec 10"
18,ELECTRICAL- CELLS &BATTERIES,Lithium Batteries,Abnormal Charging,"UL 1642, 6th Edition Sec 11"
19,ELECTRICAL- CELLS &BATTERIES,Lithium Batteries,Crush,"UL 1642, 6th Edition Sec 13"
20,ELECTRICAL- CELLS &BATTERIES,Lithium Batteries,Forced discharge,"UL 1642, 6th Edition Sec 12"
21,ELECTRICAL- CELLS &BATTERIES,Lithium Batteries,Heating,"UL 1642, 6th Edition Sec 17"
22,ELECTRICAL- CELLS &BATTERIES,Lithium Batteries,Impact,"UL 1642, 6th Edition Sec 14"
23,ELECTRICAL- CELLS &BATTERIES,Lithium Batteries,Low Pressure (Altitude Simulation),"UL 1642, 6th Edition Sec 19"
24,ELECTRICAL- CELLS &BATTERIES,Lithium Batteries,Shock,"UL 1642, 6th Edition Sec 15"
25,ELECTRICAL- CELLS &BATTERIES,Lithium Batteries,Temperature Cycling,"UL 1642, 6th Edition Sec 18"
