0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Primary and secondary lithium cells and batteriesduring transport,External short Circuit Test,UN 38.3 REV.7 Cl. No. 38.3.4.5
2,ELECTRICAL- CELLS &BATTERIES,Primary and secondary lithium cells and batteriesduring transport transport,Altitude Simulation,UN 38.3 REV.7 Cl. No. 38.3.4.1
3,ELECTRICAL- CELLS &BATTERIES,Primary and secondary lithium cells and batteriesduring transport,Force Discharge Test,UN 38.3 REV.7 Cl. No. 38.3.4.8
4,ELECTRICAL- CELLS &BATTERIES,Primary and secondary lithium cells and batteriesduring transport,Impact/Crush Test,UN 38.3 REV.7 Cl. No. 38.3.4.6
5,ELECTRICAL- CELLS &BATTERIES,Primary and secondary lithium cells and batteriesduring transport,Overcharge Test,UN 38.3 REV.7 Cl. No. 38.3.4.7
6,ELECTRICAL- CELLS &BATTERIES,Primary and secondary lithium cells and batteriesduring transport,Shock Test,UN 38.3 REV.7 Cl. No. 38.3.4.4
7,ELECTRICAL- CELLS &BATTERIES,Primary and secondary lithium cells and batteriesduring transport,Vibration Test,UN 38.3 REV.7 Cl. No. 38.3.4.3
8,ELECTRICAL- CELLS &BATTERIES,Primary and secondary lithium cells and batteriesduring transport Primary and secondary lithiumcells and batteries during transport,Thermal Test,UN 38.3 REV.7 Cl. No. 38.3.4.2
9,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries Containing Alkalineor Other Non- Acid Electrolytes-Safety Requirement for Portable Sealed Secondary Cellsand for Batteries Made from Them for Use in Portable Application (Nickel System),Parameter measurementtolerances,IS 16046 (Part 1):2018/IEC 62133-1:2017 Cl. No.4
10,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries Containing Alkalineor Other Non- Acid Electrolytes-Safety Requirement for Portable Sealed Secondary Cellsand for Batteries Made from Them for Use in Portable Application (Lithium System),Case stress at highambient temperature(Batteries),IS 16046 (Part 2):2018/IEC 62133-2:2017 Cl. No.7.2.2
11,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries Containing Alkalineor Other Non- Acid Electrolytes-Safety Requirement for Portable Sealed Secondary Cellsand for Batteries Made from Them for Use in Portable Application (Lithium System),Continuous charging atconstant voltage (Cells),IS 16046 (Part 2):2018/IEC 62133-2:2017 Cl. No.7.2.1
12,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries Containing Alkalineor Other Non- Acid Electrolytes-Safety Requirement for Portable Sealed Secondary Cellsand for Batteries Made from Them for Use in Portable Application (Lithium System),Crush (Cells),IS 16046 (Part 2):2018/IEC 62133-2:2017 Cl. No.7.3.5
13,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries Containing Alkalineor Other Non- Acid Electrolytes-Safety Requirement for Portable Sealed Secondary Cellsand for Batteries Made from Them for Use in Portable Application (Lithium System),External short circuit(Battery),IS 16046 (Part 2):2018/IEC 62133-2:2017 Cl. No.7.3.2
