0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Copper,ASTM E 1251
2,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Iron,ASTM E 1251
3,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Lead,ASTM E 1251
4,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Magnesium,ASTM E 1251
5,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Manganese,ASTM E 1251
6,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Nickel,ASTM E 1251
7,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Silicon,ASTM E 1251
8,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Titanium,ASTM E 1251
9,CHEMICAL- METALS &ALLOYS,Aluminium & its Alloys,Zinc,ASTM E 1251
10,CHEMICAL- METALS &ALLOYS,Cast Iron,Aluminium,IS 15338
11,CHEMICAL- METALS &ALLOYS,Cast Iron,Carbon,IS 15338
12,CHEMICAL- METALS &ALLOYS,Cast Iron,Chromium,IS 15338
13,CHEMICAL- METALS &ALLOYS,Cast Iron,Copper,IS 15338
14,CHEMICAL- METALS &ALLOYS,Cast Iron,Manganese,IS 15338
15,CHEMICAL- METALS &ALLOYS,Cast Iron,Molybdenum,IS 15338
16,CHEMICAL- METALS &ALLOYS,Cast Iron,Nickel,IS 15338
17,CHEMICAL- METALS &ALLOYS,Cast Iron,Phosphorus,IS 15338
18,CHEMICAL- METALS &ALLOYS,Cast Iron,Silicon,IS 15338
19,CHEMICAL- METALS &ALLOYS,Cast Iron,Sulphur,IS 15338
20,CHEMICAL- METALS &ALLOYS,Cast Iron,Vanadium,IS 15338
21,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Aluminium,BS EN 15079
22,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Antimony,BS EN 15079
23,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Arsenic,BS EN 15079
24,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Beryllium,BS EN 15079
25,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Bismuth,BS EN 15079
26,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Cadmium,BS EN 15079
27,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Chromium,BS EN 15079
28,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Cobalt,BS EN 15079
29,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Iron,BS EN 15079
30,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Lead,BS EN 15079
31,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Magnesium,BS EN 15079
32,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Nickel,BS EN 15079
33,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Phosphorus,BS EN 15079
34,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Silicon,BS EN 15079
35,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Tin,BS EN 15079
36,CHEMICAL- METALS &ALLOYS,Copper & its alloys,Zinc,BS EN 15079
