0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Components - General (Byinspection and verication ofdata only) - Clause 1.5,IEC 60950-1+A1+A2
2,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Components - General (Byinspection and verication ofdata only) - Clause 1.5,IS13252 Part 1 Clause 1.5
3,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Marking and Instructions -Power rating and identicationmarking ( Clause 1.7.1),IS13252 Part 1 Clause 1.7.1
4,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Marking and Instructions -Power rating and identicationmarking ( Clause 1.7.1),IEC 60950-1+A1+A2 (Cl. 1.7.1)
5,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Marking and Instructions -Safety instructions and Marking(Clause 1.7.2),IEC 60950-1+A1+A2
6,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Marking and Instructions -Safety instructions and Marking 1.7.2,IEC 60950-1+A1+A2
7,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Power Interface - Classicationof AC Power Distribution Systems ( Clause 1.6.1),IEC 60950-1+A1+A2
8,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Power Interface - Classicationof AC Power Distribution Systems ( Clause 1.6.1),IS13252 Part 1 Clause 1.6.1
9,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Power Interface - Input Current(Clause 1.6.2),IS13252 Part 1 Clause 1.6.2
10,ELECTRONICS- ITEQUIPMENT,Point of Sale Terminals (POS),Power Interface - Input Current DC (Clause 1.6.2),IEC 60950-1+A1+A2
11,ELECTRONICS- ITEQUIPMENT,Tablet,Components - General (Byinspection and verication ofdata only) - Clause 1.5,IEC 60950-1+A1+A2
12,ELECTRONICS- ITEQUIPMENT,Tablet,Components - General (Byinspection and verication ofdata only) - Clause 1.5,IS13252 Part 1 Clause 1.5
13,ELECTRONICS- ITEQUIPMENT,Tablet,Marking and Instructions -Power rating and identicationmarking ( Clause 1.7.1),IS13252 Part 1 Clause 1.7
14,ELECTRONICS- ITEQUIPMENT,Tablet,Marking and Instructions -Power rating and identicationmarking ( Clause 1.7.1),IEC 60950-1+A1+A2
15,ELECTRONICS- ITEQUIPMENT,Tablet,Marking and Instructions -Safety instructions and Marking(Clause 1.7.2),IEC 60950-1+A1+A2
16,ELECTRONICS- ITEQUIPMENT,Tablet,Marking and Instructions -Safety instructions and Marking 1.7.2,IEC 60950-1+A1+A2 (Cl.1.7.2)
17,ELECTRONICS- ITEQUIPMENT,Tablet,Power Interface - Classicationof AC Power Distribution Systems ( Clause 1.6.1),IEC 60950-1+A1+A2
18,ELECTRONICS- ITEQUIPMENT,Tablet,Power Interface - Classicationof AC Power Distribution Systems ( Clause 1.6.1),IS13252 Part 1 Clause 1.6.1
19,ELECTRONICS- ITEQUIPMENT,Tablet,Power Interface - Input Current(Clause 1.6.2),IS13252 Part 1 Clause 1.6.2
20,ELECTRONICS- ITEQUIPMENT,Tablet,Power Interface - Input Current DC (Clause 1.6.2),IEC 60950-1+A1+A2
