0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
Site Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),AC Voltage Test,IS 16444
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),Initial Start-up of the Meter,IS 16444
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),Insulation Test,IS 16444
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),"Limits of Error Due to other Inuence Quantities -Frequency Variation Test,Voltage Variation Test, Reverse Phase Sequence (For 3-Meter), Voltage Unbalance Test(For 3- Meter), Wave Form 10% of Third Harmonic in The Current Test",IS 16444
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),Limits of Error due to Variationof the current/ Accuracy Test,IS 16444
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),Meter Constant Test,IS 16444
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),No-load Condition Test,IS 16444
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),Power Consumption Test(During the idle mode ofcommunication module),IS 16444
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),Repeatability of Error Test,IS 16444
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Direct Connected Watthour Smart Meter (Class 1& 2),Starting Condition Test,IS 16444
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watthour and Var Hour Smart Meters (Class 0.2s, 0.5s & 1.0s)",AC Voltage Test,IS 16444 (Part 2)
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watthour and Var Hour Smart Meters (Class 0.2s, 0.5s & 1.0s)",Initial Start-up of the Meter,IS 16444 (Part 2)
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watthour and Var Hour Smart Meters (Class 0.2s, 0.5s & 1.0s)",Insulation Test,IS 16444 (Part 2)
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Static Transformer Operated Watthour and Var Hour Smart Meters (Class 0.2s, 0.5s & 1.0s)","Limits of Error Due to other Inuence Quantities -Frequency Variation Test,Voltage Variation Test, Reverse Phase Sequence, Voltage Unbalance Test, Wave Form 10% of Third Harmonic in The Current Test",IS 16444 (Part 2)
