0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,AC High Voltage Test,IS 13779 (Clause 12.7.6.1& 12.7.6.3)
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,Insulation Test,IS 13779 (Clause 12.7.6.4)
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,Test of Meter Constant,IS 13779 (Clause 11.6 &12.15)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,Test of No-load Condition,IS 13779 (Clause 12.13)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,Test of Power Consumption Current Circuit,IS 13779 (Clause 9.1.2 &12.7.1)
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,Test of Power Consumption Voltage Circuit,IS 13779 (Clause 9.1.1 &12.7.1)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,Test of Power Consumption Voltage Circuit,IS 13779 (Clause 9.1.1 &12.7.1)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,Test of Repeatability of Error,IS 13779 (Clause 11.7 &12.17)
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,Test of Starting Condition(Meter started andcontinued to recordenergy at 0.4% of Ib and UPF for active energy),IS 13779 (Clause 12.14)
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Single Phase,Test on Limits of Errordue to Variation of Current,IS 13779 (Clause 11.1)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Three Phase,AC High Voltage Test,IS 13779 (Clause 12.7.6.1& 12.7.6.3)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Three Phase,Insulation Test,IS 13779 (Clause 12.7.6.4)
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Three Phase,Test of Meter Constant,IS 13779 (Clause 11.6 &12.15)
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Three Phase,Test of No-load Condition,IS 13779 (Clause 12.13)
15,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Three Phase,Test of Power Consumption Current Circuit,IS 13779 (Clause 9.1.2 &12.7.1)
16,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,AC Static Watthour Meters Three Phase,Test of Power Consumption Voltage Circuit,IS 13779 (Clause 9.1.1 &12.7.1)
