0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Cold test,IEC 60068-2-1 Cl. 2 & 4
2,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Composite temperature &Humidity test,IEC 60068-2-38 Ed. 3
3,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Damp heat (Cyclic) test,IS 9000 (Part 5) Sec 1 to 2 Cl. No.:7.3
4,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Damp Heat (Steady state)test,IEC 60068-2-27
5,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Damp heat (Steady state)test,IEC 60068-2-78 Cl. 4.0
6,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Damp heat test cyclic(12h + 12h cycle),IEC 60068-2-30 Cl. No.7.3
7,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Dry heat Test,IEC 60068-2-2 Ed. 5
8,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Free Fall test (Drop Test),ISO 16750-3 Cl. 4.3.3.2
9,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Mechanical Shock test,ISO 16750-3 Ed. 4 Cl. No.4.2
10,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Rapid change oftemperature test,IEC 60068-2-14 Ed. 7.0 Cl.No. 7
11,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Rapid change oftemperature withspecied transitionduration test,ISO 16750-4 Cl. No. 5.3.2
12,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Storage test,ISO 16750-4 Cl. No. 5.1
13,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Temperature cycling testwith specied changerate,ISO 16750-4 Cl. No. 5.3.1
14,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Temperature cycling withspecied change rate test,IEC 60068-2-14 Ed. 7.0 Cl.No. 8
15,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Vibration test,IEC 60068-2-6 Cl. No. 5.3
16,ELECTRICAL-ENVIRONMENTALTEST FACILITY,Relay & other accessories,Vibration test,JIS-D-1601 Cl. No. 5.3
